From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Pathway	Function [CC]	Organism (ID)	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Organism
NP_851211.1	P93025	reviewed	PHOT2_ARATH	Phototropin-2 (EC 2.7.11.1) (Defective in chloroplast avoidance protein 1) (Non-phototropic hypocotyl 1-like protein 1) (AtKin7) (NPH1-like protein 1)	PHOT2 CAV1 KIN7 NPL1 At5g58140 K21L19.6		FUNCTION: Protein kinase that acts as a blue light photoreceptor in a signal-transduction pathway for photo-induced movements (PubMed:14739272, PubMed:15821287, PubMed:31904040, PubMed:32855213). Triggers the phosphorylation of AHA1 and AHA2 C-terminal penultimate Thr in guard cells to activate them and induce stomatal opening in response to blue light (BL) (PubMed:15821287, PubMed:31904040). Also phosphorylates BLUS1, a kinase involved in stomatal opening (PubMed:23811955). Mediates calcium spiking of extra- and intracellular origins in response to blue light. Involved in hypocotyl phototropism. Contributes to the chloroplast accumulation in low blue light and mediates their translocation (avoidance response) at high fluence. Regulates stomata opening and photomorphogenesis response of leaf tissue. Not involved in hypocotyl elongation inhibition, anthocyanin accumulation or cotyledon opening. {ECO:0000269|PubMed:11251116, ECO:0000269|PubMed:11371609, ECO:0000269|PubMed:12821778, ECO:0000269|PubMed:14739272, ECO:0000269|PubMed:14982991, ECO:0000269|PubMed:15031408, ECO:0000269|PubMed:15821287, ECO:0000269|PubMed:23811955, ECO:0000269|PubMed:31904040, ECO:0000269|PubMed:32855213, ECO:0000303|PubMed:15821287, ECO:0000303|PubMed:31904040}.	3702	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plastid [GO:0009536]	blue light signaling pathway [GO:0009785]; chloroplast relocation [GO:0009902]; circadian rhythm [GO:0007623]; phototropism [GO:0009638]; response to blue light [GO:0009637]; stomatal movement [GO:0010118]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plastid [GO:0009536]; ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; blue light signaling pathway [GO:0009785]; chloroplast relocation [GO:0009902]; circadian rhythm [GO:0007623]; phototropism [GO:0009638]; response to blue light [GO:0009637]; stomatal movement [GO:0010118]	ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005794; GO:0005886; GO:0007623; GO:0009536; GO:0009637; GO:0009638; GO:0009785; GO:0009882; GO:0009902; GO:0010118; GO:0010181; GO:0016020; GO:0016301; GO:0042802; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_851212.2	A8MS49	unreviewed	A8MS49_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	PHOT2 AtPHOT2 NPL1 phototropin 2 At5g58140 K21L19.6 K21L19_6			3702	plasma membrane [GO:0005886]	chloroplast relocation [GO:0009902]; circadian rhythm [GO:0007623]; phototropism [GO:0009638]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; protein serine/threonine kinase activity [GO:0004674]; chloroplast relocation [GO:0009902]; circadian rhythm [GO:0007623]; phototropism [GO:0009638]	ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005886; GO:0007623; GO:0009638; GO:0009882; GO:0009902; GO:0010181; GO:0042802	Arabidopsis thaliana (Mouse-ear cress)
NP_201037.1	Q9LE81	reviewed	IRE_ARATH	Probable serine/threonine protein kinase IRE (EC 2.7.11.1) (Protein INCOMPLETE ROOT HAIR ELONGATION) (AtIRE)	IRE At5g62310		FUNCTION: Modulates root tip growth. May play a common role in the tip growth of plant cells. {ECO:0000269|PubMed:12000677}.	3702		intracellular signal transduction [GO:0035556]; unidimensional cell growth [GO:0009826]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]; intracellular signal transduction [GO:0035556]; unidimensional cell growth [GO:0009826]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	GO:0004674; GO:0005524; GO:0008270; GO:0009826; GO:0016301; GO:0035556; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_188412.2	F4J6F6	reviewed	IREH1_ARATH	Probable serine/threonine protein kinase IREH1 (EC 2.7.11.1) (Protein IRE homolog 1) (AtIREH1)	IREH1 At3g17850 MEB5.7		FUNCTION: May be involved in root hair elongation. {ECO:0000303|PubMed:12000677}.	3702	root hair [GO:0035618]	intracellular signal transduction [GO:0035556]	root hair [GO:0035618]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]; intracellular signal transduction [GO:0035556]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	GO:0004674; GO:0005524; GO:0008270; GO:0016301; GO:0035556; GO:0035618; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_188973.2	A0A384LNK0	unreviewed	A0A384LNK0_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AXX17_At3g25350 AN1_LOCUS13794 AT9943_LOCUS11839 C24_LOCUS13632			3702	cytoplasm [GO:0005737]		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005737	Arabidopsis thaliana (Mouse-ear cress)
NP_188973.2	Q9LW66	unreviewed	Q9LW66_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	At3g23310			3702	cytoplasm [GO:0005737]	intracellular signal transduction [GO:0035556]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005737; GO:0016301; GO:0035556	Arabidopsis thaliana (Mouse-ear cress)
NP_001030814.1	O48963	reviewed	PHOT1_ARATH	Phototropin-1 (EC 2.7.11.1) (Non-phototropic hypocotyl protein 1) (Root phototropism protein 1)	PHOT1 JK224 NPH1 RPT1 At3g45780 T6D9_110		FUNCTION: Protein kinase that acts as a blue light (BL) photoreceptor in a signal-transduction pathway for photo-induced movements (PubMed:14739272, PubMed:15821287, PubMed:29101334, PubMed:31904040, PubMed:32855213). Triggers the phosphorylation of AHA1 and AHA2 C-terminal penultimate Thr in guard cells to activate them and induce stomatal opening in response to blue light (BL) (PubMed:15821287, PubMed:31904040). Also phosphorylates BLUS1, a kinase involved in stomatal opening (PubMed:23811955). Mediates the phosphorylation of CBC1 in stomata, but not of CBC2, in response to blue light (PubMed:29101334). Required for blue light mediated mRNA destabilization. Mediates calcium spiking of extracellular origin in response to a low rate of blue light. Also mediates rapid membrane depolarization and growth inhibition in response to blue light. Necessary for root phototropism. Involved in hypocotyl phototropism under a low rate but not under a high rate of blue light. Contributes to the chloroplast accumulation but does not seem to be required for chloroplast translocation. Regulates stomata opening and photomorphogenesis response of leaf tissue. Confers sensitivity to drought. Not involved in hypocotyl elongation inhibition, anthocyanin accumulation or cotyledon opening. Involved in the regulation of leaf position and morphology via the phosphorylation of ABCB19 during blue light responses to modulate auxin distribution (PubMed:32855213). {ECO:0000269|PubMed:10662859, ECO:0000269|PubMed:11439133, ECO:0000269|PubMed:12650626, ECO:0000269|PubMed:12821778, ECO:0000269|PubMed:14739272, ECO:0000269|PubMed:14982991, ECO:0000269|PubMed:15031408, ECO:0000269|PubMed:15821287, ECO:0000269|PubMed:16777956, ECO:0000269|PubMed:20031924, ECO:0000269|PubMed:23811955, ECO:0000269|PubMed:29101334, ECO:0000269|PubMed:31904040, ECO:0000269|PubMed:32855213, ECO:0000303|PubMed:15821287, ECO:0000303|PubMed:31904040}.	3702	cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; nucleus [GO:0005634]; plant-type vacuole [GO:0000325]; plasma membrane [GO:0005886]	blue light signaling pathway [GO:0009785]; cellular response to blue light [GO:0071483]; chloroplast accumulation movement [GO:0009904]; chloroplast avoidance movement [GO:0009903]; circadian rhythm [GO:0007623]; leaf phyllotactic patterning [GO:0060772]; phototropism [GO:0009638]; regulation of leaf morphogenesis [GO:1901371]; regulation of proton transport [GO:0010155]; regulation of stomatal movement [GO:0010119]; response to blue light [GO:0009637]; response to red or far red light [GO:0009639]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; nucleus [GO:0005634]; plant-type vacuole [GO:0000325]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; mRNA binding [GO:0003729]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; blue light signaling pathway [GO:0009785]; cellular response to blue light [GO:0071483]; chloroplast accumulation movement [GO:0009904]; chloroplast avoidance movement [GO:0009903]; circadian rhythm [GO:0007623]; leaf phyllotactic patterning [GO:0060772]; phototropism [GO:0009638]; regulation of leaf morphogenesis [GO:1901371]; regulation of proton transport [GO:0010155]; regulation of stomatal movement [GO:0010119]; response to blue light [GO:0009637]; response to red or far red light [GO:0009639]	ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; mRNA binding [GO:0003729]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0000325; GO:0003729; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0007623; GO:0009637; GO:0009638; GO:0009639; GO:0009785; GO:0009882; GO:0009898; GO:0009903; GO:0009904; GO:0009986; GO:0010119; GO:0010155; GO:0010181; GO:0016301; GO:0042802; GO:0060772; GO:0071483; GO:0106310; GO:1901371	Arabidopsis thaliana (Mouse-ear cress)
NP_190164.1	O48963	reviewed	PHOT1_ARATH	Phototropin-1 (EC 2.7.11.1) (Non-phototropic hypocotyl protein 1) (Root phototropism protein 1)	PHOT1 JK224 NPH1 RPT1 At3g45780 T6D9_110		FUNCTION: Protein kinase that acts as a blue light (BL) photoreceptor in a signal-transduction pathway for photo-induced movements (PubMed:14739272, PubMed:15821287, PubMed:29101334, PubMed:31904040, PubMed:32855213). Triggers the phosphorylation of AHA1 and AHA2 C-terminal penultimate Thr in guard cells to activate them and induce stomatal opening in response to blue light (BL) (PubMed:15821287, PubMed:31904040). Also phosphorylates BLUS1, a kinase involved in stomatal opening (PubMed:23811955). Mediates the phosphorylation of CBC1 in stomata, but not of CBC2, in response to blue light (PubMed:29101334). Required for blue light mediated mRNA destabilization. Mediates calcium spiking of extracellular origin in response to a low rate of blue light. Also mediates rapid membrane depolarization and growth inhibition in response to blue light. Necessary for root phototropism. Involved in hypocotyl phototropism under a low rate but not under a high rate of blue light. Contributes to the chloroplast accumulation but does not seem to be required for chloroplast translocation. Regulates stomata opening and photomorphogenesis response of leaf tissue. Confers sensitivity to drought. Not involved in hypocotyl elongation inhibition, anthocyanin accumulation or cotyledon opening. Involved in the regulation of leaf position and morphology via the phosphorylation of ABCB19 during blue light responses to modulate auxin distribution (PubMed:32855213). {ECO:0000269|PubMed:10662859, ECO:0000269|PubMed:11439133, ECO:0000269|PubMed:12650626, ECO:0000269|PubMed:12821778, ECO:0000269|PubMed:14739272, ECO:0000269|PubMed:14982991, ECO:0000269|PubMed:15031408, ECO:0000269|PubMed:15821287, ECO:0000269|PubMed:16777956, ECO:0000269|PubMed:20031924, ECO:0000269|PubMed:23811955, ECO:0000269|PubMed:29101334, ECO:0000269|PubMed:31904040, ECO:0000269|PubMed:32855213, ECO:0000303|PubMed:15821287, ECO:0000303|PubMed:31904040}.	3702	cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; nucleus [GO:0005634]; plant-type vacuole [GO:0000325]; plasma membrane [GO:0005886]	blue light signaling pathway [GO:0009785]; cellular response to blue light [GO:0071483]; chloroplast accumulation movement [GO:0009904]; chloroplast avoidance movement [GO:0009903]; circadian rhythm [GO:0007623]; leaf phyllotactic patterning [GO:0060772]; phototropism [GO:0009638]; regulation of leaf morphogenesis [GO:1901371]; regulation of proton transport [GO:0010155]; regulation of stomatal movement [GO:0010119]; response to blue light [GO:0009637]; response to red or far red light [GO:0009639]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; nucleus [GO:0005634]; plant-type vacuole [GO:0000325]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; mRNA binding [GO:0003729]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; blue light signaling pathway [GO:0009785]; cellular response to blue light [GO:0071483]; chloroplast accumulation movement [GO:0009904]; chloroplast avoidance movement [GO:0009903]; circadian rhythm [GO:0007623]; leaf phyllotactic patterning [GO:0060772]; phototropism [GO:0009638]; regulation of leaf morphogenesis [GO:1901371]; regulation of proton transport [GO:0010155]; regulation of stomatal movement [GO:0010119]; response to blue light [GO:0009637]; response to red or far red light [GO:0009639]	ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; mRNA binding [GO:0003729]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0000325; GO:0003729; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0007623; GO:0009637; GO:0009638; GO:0009639; GO:0009785; GO:0009882; GO:0009898; GO:0009903; GO:0009904; GO:0009986; GO:0010119; GO:0010155; GO:0010181; GO:0016301; GO:0042802; GO:0060772; GO:0071483; GO:0106310; GO:1901371	Arabidopsis thaliana (Mouse-ear cress)
NP_001329677.1	A0A384L6K2	unreviewed	A0A384L6K2_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AXX17_At4g16530			3702	cytoplasm [GO:0005737]		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005737; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_001329677.1	Q8L7S7	unreviewed	Q8L7S7_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	DL3215C At4g14350 FCAALL.182			3702	cytoplasm [GO:0005737]; nucleus [GO:0005634]; phragmoplast [GO:0009524]	intracellular signal transduction [GO:0035556]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; phragmoplast [GO:0009524]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0009524; GO:0016301; GO:0035556	Arabidopsis thaliana (Mouse-ear cress)
NP_193171.2	A0A384L6K2	unreviewed	A0A384L6K2_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AXX17_At4g16530			3702	cytoplasm [GO:0005737]		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005737; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_193171.2	Q8L7S7	unreviewed	Q8L7S7_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	DL3215C At4g14350 FCAALL.182			3702	cytoplasm [GO:0005737]; nucleus [GO:0005634]; phragmoplast [GO:0009524]	intracellular signal transduction [GO:0035556]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; phragmoplast [GO:0009524]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0009524; GO:0016301; GO:0035556	Arabidopsis thaliana (Mouse-ear cress)
