Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
Annmor1	GCA_022695765.1		Annulohypoxylon moriforme	326622		CBS 123579					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-03-03	JAJLRE01	967
Rhihy1	GCA_002104985.1		Rhizoclosmatium globosum	329046		JEL800					Annotation submitted by DOE Joint Genome Institute	Contig	2017-04-20	MCGO01	437
Rusdis1	GCA_022376545.1		Russula dissimulans	258981		BPL704					Annotation submitted by DOE Joint Genome Institute	Contig	2022-02-23	WTXJ01	489
Aspfru1	GCA_047715895.1		Aspergillus fruticulosus	1250369		CBS 989.72					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JBDRAA01	279
Aspcand1	GCA_002847045.1	GCF_002847045.1	Aspergillus candidus	41067		CBS 102.13					Annotation submitted by DOE Joint Genome Institute	Scaffold	2017-12-21	PKFS01	268
Aspcand1	GCF_002847045.1	GCA_002847045.1	Aspergillus candidus	41067		CBS 102.13					Annotation submitted by DOE Joint Genome Institute	Scaffold	2017-12-21	PKFS01	268
CORC01	GCA_001831195.1	GCF_001831195.1	Colletotrichum orchidophilum	1209926		IMI 309357					Annotation submitted by University of Western Brittany	Scaffold	2016-10-21	MJBS01	321
CORC01	GCF_001831195.1	GCA_001831195.1	Colletotrichum orchidophilum	1209926		IMI 309357					Annotation submitted by University of Western Brittany	Scaffold	2016-10-21	MJBS01	321
Xylven1	GCA_022578775.1		Xylaria venustula	743302		FL0490					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-02-28	JAJHUE01	392
Capr_epim_CBS_606_96_V1	GCA_000585565.1	GCF_000585565.1	Capronia epimyces CBS 606.96	1182542		CBS 606.96					Annotation submitted by Broad Institute	Scaffold	2014-03-05	AMGY01	18
Capr_epim_CBS_606_96_V1	GCF_000585565.1	GCA_000585565.1	Capronia epimyces CBS 606.96	1182542		CBS 606.96					Annotation submitted by Broad Institute	Scaffold	2014-03-05	AMGY01	18
Aspsac1	GCA_003184585.1	GCF_003184585.1	Aspergillus saccharolyticus JOP 1030-1	1450539		JOP 1030-1					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	MSFQ01	120
Aspsac1	GCF_003184585.1	GCA_003184585.1	Aspergillus saccharolyticus JOP 1030-1	1450539		JOP 1030-1					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	MSFQ01	120
Phiatr1	GCA_030411735.1	GCF_030411735.1	Phialemonium atrogriseum	1093897		8032-3					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-06-30	JAUFRD01	82
Phiatr1	GCF_030411735.1	GCA_030411735.1	Phialemonium atrogriseum	1093897		8032-3					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-06-30	JAUFRD01	82
Piscro1	GCA_024663515.1		Pisolithus croceorrhizus	2060934		74A					Annotation submitted by DOE Joint Genome Institute	Contig	2022-08-12	JANFAD01	576
PAPYR1.0	GCA_027972325.1		Paratrimastix pyriformis	342808		RCP-MX					Annotation submitted by Charles University	Scaffold	2023-01-25	JAPMOS01	633
Ma_sr-lr_union100	GCF_902729225.1	GCA_902729225.1	Pteropus medius	143291							GCF_902729225.1-RS_2025_12	Scaffold	2020-04-15	CACVBW01	16113
Tescy1	GCA_003144125.1		Testicularia cyperi	1882483		MCA 3645					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-05-21	MCOH01	95
Phohig1	GCA_014925825.1		Pholiota molesta	2066989		CBS 144467					Annotation submitted by DOE Joint Genome Institute	Contig	2020-10-23	JACGCK01	701
Lacaka1	GCA_021524915.1		Lactarius akahatsu	416441		QP					Annotation submitted by DOE Joint Genome Institute	Contig	2022-01-19	JAKELL01	844
Chafun1 v1.0	GCA_033296635.1	GCF_033296635.1	Dichotomopilus funicola	1934379		CBS 141.50					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-10-26	JASJRX01	198
Chafun1 v1.0	GCF_033296635.1	GCA_033296635.1	Dichotomopilus funicola	1934379		CBS 141.50					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-10-26	JASJRX01	198
Umbra1	GCA_025399195.1	GCF_025399195.1	Umbelopsis ramanniana AG	1314678		AG					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-09-23	JAHLTX01	198
Umbra1	GCF_025399195.1	GCA_025399195.1	Umbelopsis ramanniana AG	1314678		AG					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-09-23	JAHLTX01	198
CSIRO-AGI_Caff_v1	GCF_046629955.1	GCA_046629955.1	Centroberyx affinis	166261				Tasmania	AG114_WGS23_722 - 3		GCF_046629955.1-RS_2025_02	Contig	2025-01-14	JBJHQM01	6232
MAM 1.0 for version 1 of the Metarhizium album genome	GCA_000804445.1	GCF_000804445.1	Metarhizium album ARSEF 1941	1081103		ARSEF 1941					Annotation submitted by Shanghai Institutes for Biological Sciences, CAS	Scaffold	2014-12-18	AZHE01	257
MAM 1.0 for version 1 of the Metarhizium album genome	GCF_000804445.1	GCA_000804445.1	Metarhizium album ARSEF 1941	1081103		ARSEF 1941					Annotation submitted by Shanghai Institutes for Biological Sciences, CAS	Scaffold	2014-12-18	AZHE01	257
ASM164239v1	GCA_001642395.1	GCF_001642395.1	Nematocida displodere	1805483		JUm2807					Annotation submitted by University of California San Diego	Scaffold	2016-05-11	LTDL01	42
ASM164239v1	GCF_001642395.1	GCA_001642395.1	Nematocida displodere	1805483		JUm2807					Annotation submitted by University of California San Diego	Scaffold	2016-05-11	LTDL01	42
APGP_CSIRO_Gbil_v1	GCF_033153095.1	GCA_033153095.1	Gastrolobium bilobum	150636				WA	Gb01-03AN		GCF_033153095.1-RS_2023_12	Contig	2023-10-31	JAVQLA01	5085
Lacsan1	GCA_021527775.1		Lactarius sanguifluus	111137		B21					Annotation submitted by DOE Joint Genome Institute	Contig	2022-01-19	JAKEYF01	978
Btru.v1	GCA_021962125.1		Bulinus truncatus	55810					NR-21971		Annotation submitted by The University of Melbourne	Scaffold	2022-02-04	JAGDYQ01	523
Mycros1	GCA_029378255.1		Mycena rosella	1033263		CBHHK067					Annotation submitted by DOE Joint Genome Institute	Contig	2023-03-24	JARKIE01	1705
ASM979241v2	GCA_009792415.2	GCF_009792415.1	Cryptosporidium ryanae	515981					45019		Annotation submitted by South China Agricultural University	Scaffold	2022-01-06	VHLK02	93
ASM979241v2	GCF_009792415.1	GCA_009792415.2	Cryptosporidium ryanae	515981					45019		Annotation submitted by South China Agricultural University	Scaffold	2022-01-06	VHLK02	93
NsAZ0576_1	GCA_022578855.1		Nemania serpens	109381		AZ0576					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-02-28	JAJKKN01	565
Hexamita_inflata_n_2024_07_v3	GCA_963988835.2		Hexamita inflata	28002							Annotation submitted by UPPSALA UNIVERISTY	Scaffold	2024-07-09	CAXDID02	1241
ASM80326v1	GCA_000803265.1	GCF_000803265.1	Ordospora colligata OC4	1354746		OC4					Annotation submitted by University of British Columbia	Contig	2014-12-17	JOKQ01	15
ASM80326v1	GCF_000803265.1	GCA_000803265.1	Ordospora colligata OC4	1354746		OC4					Annotation submitted by University of British Columbia	Contig	2014-12-17	JOKQ01	15
Tercla1	GCA_015179025.1		Terfezia claveryi	139407		T7					Annotation submitted by DOE Joint Genome Institute	Contig	2020-11-02	WHUX01	1139
Totfu1	GCA_010583015.1		Tothia fuscella	1048955		CBS 130266					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-02-13	JAAEJU01	363
GpartN1_1.0	GCA_025991245.1		Galdieria partita	83374		NBRC 102759			haploid clone N1		Annotation submitted by Department of Gene Function and Phenomics, National Institute of Genetics	Contig	2022-09-28	BQMJ01	80
Nema_sp_1_ERTm6_V2	GCA_000738915.1	GCF_000738915.1	Nematocida ausubeli	1913371		ERTm6					Annotation submitted by Broad Institute	Scaffold	2014-08-11	AKIJ01	24
Nema_sp_1_ERTm6_V2	GCF_000738915.1	GCA_000738915.1	Nematocida ausubeli	1913371		ERTm6					Annotation submitted by Broad Institute	Scaffold	2014-08-11	AKIJ01	24
Conpu1	GCA_000271625.1	GCF_000271625.1	Coniophora puteana RWD-64-598 SS2	741705		RWD-64-598 SS2					Annotation submitted by DOE Joint Genome Institute	Scaffold	2012-06-25	AEIT01	210
Conpu1	GCF_000271625.1	GCA_000271625.1	Coniophora puteana RWD-64-598 SS2	741705		RWD-64-598 SS2					Annotation submitted by DOE Joint Genome Institute	Scaffold	2012-06-25	AEIT01	210
Chylag1	GCA_025449115.1		Chytridium lagenaria	64509		Arg66					Annotation submitted by DOE Joint Genome Institute	Contig	2022-09-27	JAHLKC01	446
BGI_Echrysol.V1	GCA_010084205.1		Eudyptes chrysolophus	79627					MP PEI 1		Annotation submitted by BGI-Shenzhen	Scaffold	2020-01-31	VULJ01	15753
Phoaln1	GCA_015499995.1		Flammula alnicola	109635		AH 47727					Annotation submitted by DOE Joint Genome Institute	Contig	2020-11-16	JADNRV01	976
ASM394214v1	GCA_003942145.1		Platysternon megacephalum	55544					DO16091913	male	Annotation submitted by Institute of Zoology,  Guangdong Academy of Sciences	Scaffold	2018-12-12	QXTE01	359693
ASM1339845v1	GCA_013398455.1		Loxia curvirostra	64802					OUT-0011	male	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VZSM01	15776
Tilwa1	GCA_003144115.1	GCF_003144115.1	Tilletiopsis washingtonensis	58919		MCA 4186					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-05-21	MKCN01	38
Tilwa1	GCF_003144115.1	GCA_003144115.1	Tilletiopsis washingtonensis	58919		MCA 4186					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-05-21	MKCN01	38
Treen1	GCA_002105065.1		Naematelia encephala	71784		68-887.2					Annotation submitted by DOE Joint Genome Institute	Contig	2017-04-20	MCFC01	151
Mycoli1	GCA_029378375.1		Mycena olivaceomarginata	230810		CBHHK47/15					Annotation submitted by DOE Joint Genome Institute	Contig	2023-03-24	JARKIC01	4040
Suisu1	GCA_016647625.1	GCF_016647625.1	Suillus subalutaceus	48586		FC151					Annotation submitted by DOE Joint Genome Institute	Contig	2021-01-15	JABBWH01	998
Suisu1	GCF_016647625.1	GCA_016647625.1	Suillus subalutaceus	48586		FC151					Annotation submitted by DOE Joint Genome Institute	Contig	2021-01-15	JABBWH01	998
Pismar1	GCA_024613145.1		Pisolithus marmoratus	178871		2 16A					Annotation submitted by DOE Joint Genome Institute	Contig	2022-08-10	JANFAE01	1188
Lacviv1	GCA_021527035.1		Lactarius vividus	1740625		141					Annotation submitted by DOE Joint Genome Institute	Contig	2022-01-19	JAKELG01	1123
Mucmuc1	GCA_025094135.1	GCF_025094135.1	Mucor mucedo	29922		NRRL 3635					Annotation submitted by DOE Joint Genome Institute	Contig	2022-09-08	JALPTJ01	455
Mucmuc1	GCF_025094135.1	GCA_025094135.1	Mucor mucedo	29922		NRRL 3635					Annotation submitted by DOE Joint Genome Institute	Contig	2022-09-08	JALPTJ01	455
Bisma1	GCA_022695795.1		Biscogniauxia marginata	110534		CBS 124505					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-03-02	JAJNNW01	265
Suilak1	GCA_016628065.1		Suillus lakei	48574		FC43					Annotation submitted by DOE Joint Genome Institute	Contig	2021-01-13	JABBWA01	1154
Xylacu1	GCA_022495125.1		Xylaria acuta	114808		CBS 122032					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-02-28	JAJJWY01	761
Antser1	GCA_022376445.1	GCF_022376445.1	Fomitopsis serialis	139415		Sig1Antser10					Annotation submitted by DOE Joint Genome Institute	Contig	2022-02-23	JACBKP01	893
Antser1	GCF_022376445.1	GCA_022376445.1	Fomitopsis serialis	139415		Sig1Antser10					Annotation submitted by DOE Joint Genome Institute	Contig	2022-02-23	JACBKP01	893
ASM127255v1	GCA_001272555.1	GCF_001272555.1	Dufourea novaeangliae	178035					0120121106		Annotation submitted by BGI	Scaffold	2015-08-21	LGHO01	4178
ASM127255v1	GCF_001272555.1	GCA_001272555.1	Dufourea novaeangliae	178035					0120121106		NCBI Dufourea novaeangliae Annotation Release 100	Scaffold	2015-08-21	LGHO01	4178
Obemuc1	GCA_025765595.1		Obelidium mucronatum	110081		JEL802					Annotation submitted by DOE Joint Genome Institute	Contig	2022-10-16	JAIVFH01	905
Asub_2.0	GCA_000787575.2	GCF_000787575.1	Acytostelium subglobosum LB1	1410327		LB1					Annotation submitted by University of Tsukuba	Scaffold	2014-12-22	BAUZ01	106
Asub_2.0	GCF_000787575.1	GCA_000787575.2	Acytostelium subglobosum LB1	1410327		LB1					Annotation submitted by NCBI RefSeq	Scaffold	2014-12-22	BAUZ01	106
Nemabo1	GCA_022578505.1		Nemania abortiva	561989		FL1152					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-02-28	JAJKKU01	888
Lacsub1	GCA_022496195.1		Lactifluus subvellereus	1837270		BPL653					Annotation submitted by DOE Joint Genome Institute	Contig	2022-03-07	WTXC01	1468
Gaumor1_1	GCA_015179125.1		Gautieria morchelliformis	112417		GMNE.BST					Annotation submitted by DOE Joint Genome Institute	Contig	2020-11-02	WHVA01	1220
ASM202278v1	GCA_002022785.1		Trichoderma guizhouense	1491466		NJAU 4742					Annotation submitted by Nanjing Agricultural University	Scaffold	2017-03-07	LVVK01	63
Asptetr1	GCA_045791975.1		Aspergillus tetrazonus	1883080		CBS 591.65A					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-12-06	JBDRAG01	452
Rusvin1	GCA_022376525.1		Russula vinacea	517384		BPL710					Annotation submitted by DOE Joint Genome Institute	Contig	2022-02-23	WTXL01	824
Cligib1	GCA_015501065.1		Infundibulicybe gibba	378275		IJFM A808					Annotation submitted by DOE Joint Genome Institute	Contig	2020-11-16	JADNYI01	1258
Suivar1	GCA_016647645.1		Suillus variegatus	48592		UH-Sva-Z1					Annotation submitted by DOE Joint Genome Institute	Contig	2021-01-15	JABBWF01	1270
Ascru1	GCA_001661345.1	GCF_001661345.1	Ascoidea rubescens DSM 1968	1344418		DSM 1968					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-09-15	LYBR01	63
Ascru1	GCF_001661345.1	GCA_001661345.1	Ascoidea rubescens DSM 1968	1344418		DSM 1968					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-09-15	LYBR01	63
Tribi1	GCA_010356995.1		Trichodelitschia bisporula	703511		CBS 262.69					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-02-06	JAAGKV01	44
Muloch1	GCA_022496185.1		Multifurca ochricompacta	376703		BPL690					Annotation submitted by DOE Joint Genome Institute	Contig	2022-03-07	WTXG01	772
Cloaq1	GCA_002105025.1		Clohesyomyces aquaticus	1231657		CBS 115471					Annotation submitted by DOE Joint Genome Institute	Contig	2017-04-20	MCFA01	761
CtCBS203_1	GCA_022578605.1		Camillea tinctor	110548		CBS 203.56					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-03-02	JAJKKR01	229
Xylint1	GCA_022385655.1		Xylaria intraflava	492091		YMJ 725					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-02-22	JAJJJO01	438
Helsul1	GCA_004369045.1		Heliocybe sulcata	5364		OMC1185					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-03-25	QPFL01	87
Myclep1	GCA_029378395.1		Mycena leptocephala	230808		CBHHK5/15					Annotation submitted by DOE Joint Genome Institute	Contig	2023-03-24	JARJLF01	4647
Mychae1	GCA_029281435.1		Mycena haematopus	230807		CBHHK189					Annotation submitted by DOE Joint Genome Institute	Contig	2023-03-20	JARJCV01	1062
Thiap1	GCA_033297405.1	GCF_033297405.1	Parathielavia appendiculata	2587402		CBS 731.68					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-10-26	JASMSN01	109
Thiap1	GCF_033297405.1	GCA_033297405.1	Parathielavia appendiculata	2587402		CBS 731.68					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-10-26	JASMSN01	109
Aspspe1_1	GCA_047715635.1		Aspergillus spectabilis	41731		CBS 429.77A					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JBDQZO01	715
GSC_fseal_2.0	GCF_003265705.2	GCA_003265705.2	Callorhinus ursinus	34884					GAN/ISIS: 27379988/994484	female	GCF_003265705.2-RS_2025_05	Scaffold	2025-02-03	QLOG02	14518
Thiar1	GCA_033297395.1	GCF_033297395.1	Canariomyces notabilis	2074819		CBS 508.74					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-10-26	JASMSO01	69
Thiar1	GCF_033297395.1	GCA_033297395.1	Canariomyces notabilis	2074819		CBS 508.74					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-10-26	JASMSO01	69
Amylap1_1	GCA_022376435.1		Amylocystis lapponica	202700		SKaAmylap13					Annotation submitted by DOE Joint Genome Institute	Contig	2022-02-23	JABYQE01	801
Xyldig1	GCA_022495195.1		Xylaria digitata	323540		CBS 161.22					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-02-28	JAJJXK01	888
Aspgra1	GCA_044048675.1		Aspergillus granulosus	176169		CBS 588.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-10-29	JBFXLT01	455
Xyltel121673_1	GCA_022495065.1		Xylaria telfairii	477509		CBS 121673					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-02-28	JAJJXI01	1027
Rhobut1_1	GCA_015501585.1		Rhodocollybia butyracea	206335		AH 40177					Annotation submitted by DOE Joint Genome Institute	Contig	2020-11-16	JADNRY01	1482
ASM1265628v1	GCA_012656285.1		Aspergillus fumigatiaffinis	340414		CNM-CM6805					Annotation submitted by UNICAMP	Scaffold	2020-04-22	JAAAPX01	1055
Rusbre1	GCA_022496215.1		Russula brevipes	98861		BPL707					Annotation submitted by DOE Joint Genome Institute	Contig	2022-03-07	WTXF01	1320
ASM1339707v1	GCA_013397075.1		Rhabdornis inornatus	237438					B10K-DU-001-29	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VWZS01	18698
ASM1339665v1	GCA_013396655.1		Campylorhamphus procurvoides	190295					B10K-DU-001-09	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	WBMV01	16876
Trihyb1	GCA_015178995.1		Trichophaea hybrida	47213		UTF0779					Annotation submitted by DOE Joint Genome Institute	Contig	2020-11-02	WHVE01	1794
ASM1339811v1	GCA_013398115.1		Falcunculus frontatus	254539					B10K-DU-029-77	male	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VZRV01	23443
ASM1658430v1	GCA_016584305.1		Chionoecetes opilio	41210					MADBK_172401_WGS	male	Annotation submitted by Seoul National University	Scaffold	2021-01-08	JACEEZ01	26514
Lacpse1	GCA_021525015.1		Lactarius pseudohatsudake	1932123		88					Annotation submitted by DOE Joint Genome Institute	Contig	2022-01-19	JAKELH01	1350
Polsqu1	GCA_022592435.1		Cerioporus squamosus	2829415		CCBS 676					Annotation submitted by DOE Joint Genome Institute	Contig	2022-03-16	JABYQS01	1227
Hypfus1	GCA_022578945.1		Hypoxylon fuscum	109372		CBS 119018					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-03-03	JAJLYN01	552
Hydfim1	GCA_022160335.1		Irpex rosettiformis	378272		CBS 384.51					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-02-09	JABYQD01	256
Xylpal124036_1	GCA_022385595.1		Xylaria palmicola	665665		CBS 124036					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-02-22	JAJJJN01	548
UHH_iyHylAnth1.0_haploid	GCF_026225885.1	GCA_026225885.1	Hylaeus anthracinus	313031					JK02	male	GCF_026225885.1-RS_2023_03	Scaffold	2022-11-17	JANDJY01	2526
Pgla_CCMP1383	GCA_905237085.1		Polarella glacialis	89957							Annotation submitted by INSTITUTE FOR MOLECULAR BIOSCIENCE, UNIVERSITY OF QUEENSLAND	Scaffold	2021-02-20	CAJNNV01	33494
ASM1339919v1	GCA_013399195.1		Dicrurus megarhynchus	450177					B10K-DU-001-48		Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VXAD01	47015
ASM1339772v1	GCA_013397725.1		Rhagologus leucostigma	156170					B10K-DU-029-40	male	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VZTD01	10891
T7_ISS37_r1.0	GCA_001447455.1		Trichinella nelsoni	6336					ISS37		Annotation submitted by University of Melbourne	Scaffold	2015-11-24	JYDL01	2969
ASM1339987v1	GCA_013399875.1		Gymnorhina tibicen	9132					B10K-DU-002-05	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VXAZ01	18986
Polfu1	GCA_010093805.1		Polyplosphaeria fusca	682080		CBS 125425					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-31	JAAEJQ01	468
Ruscom1	GCA_022376555.1		Russula compacta	40490		BPL669					Annotation submitted by DOE Joint Genome Institute	Contig	2022-02-23	WTXH01	984
ASM1675898v1	GCA_016758985.1		Mucor saturninus	64648		WA0000017839					Annotation submitted by University of Warsaw	Scaffold	2021-01-27	JAEPRD01	5146
Linrh1	GCA_010093515.1		Lineolata rhizophorae	578093		ATCC 16933					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-31	JAAEJC01	68
ASM722483v1	GCA_007224835.1		Danionella cerebrum	2873325		Bolton				pooled male and female	Annotation submitted by Charite - Universitatsmedizin Berlin	Scaffold	2019-07-22	SRMA01	27639
CKAH01	GCA_032988895.1		Colletotrichum kahawae	34407		CIFC_Que2					Annotation submitted by University of Salamanca	Scaffold	2023-10-24	VYYT01	886
USP_GDom_1.0	GCA_022539475.1		Gracilaria domingensis	172961					SP 400837		Annotation submitted by USP	Scaffold	2022-03-14	VCMS01	684
ASM1339711v1	GCA_013397115.1		Edolisoma coerulescens	2585810					B10K-DU-001-25	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VWZW01	13754
Tralj1	GCA_022385805.1		Pilatotrama ljubarskyi	2735509		BRFM 1659					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-02-17	JABYMZ01	311
aptRow1	GCF_003343035.1	GCA_003343035.1	Apteryx rowi	308060					R43461	male	NCBI Apteryx rowi Annotation Release 100	Scaffold	2018-07-26	PTFB01	4120
ASM1339715v1	GCA_013397155.1		Irena cyanogastra	175120					B10K-DU-001-26	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VWZV01	29340
ASM1339675v1	GCA_013396755.1		Sclerurus mexicanus	265632					B10K-DU-001-03	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VWZF01	13055
Acema1	GCA_014904845.1		Acephala macrosclerotiorum	886606		EW76-UTF0540					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-10-20	WHVH01	1695
Rhipu1	GCA_041956525.1	GCF_041956525.1	Rhizomucor pusillus	4840		CBS 183.67					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-16	JAZGQV01	48
Rhipu1	GCF_041956525.1	GCA_041956525.1	Rhizomucor pusillus	4840		CBS 183.67					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-16	JAZGQV01	48
ASM1293484v2	GCA_012934845.2		Pomphorhynchus laevis	141832					GPI110	pooled male and female	Annotation submitted by Johannes Gutenberg University Mainz	Contig	2022-03-18	WNNJ02	3864
Nema_parisii_ERTm1_V3	GCA_000250985.1	GCF_000250985.1	Nematocida parisii ERTm1	881290		ERTm1					Annotation submitted by Broad Institute	Scaffold	2012-05-14	AEFF02	65
Nema_parisii_ERTm1_V3	GCF_000250985.1	GCA_000250985.1	Nematocida parisii ERTm1	881290		ERTm1					Annotation submitted by Broad Institute	Scaffold	2012-05-14	AEFF02	65
ASM1340097v1	GCA_013400975.1		Atrichornis clamosus	449594					B10K-DU-029-61	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	WBMZ01	31606
Fompi3	GCA_000344655.2		Fomitopsis schrenkii	2126942		FP-58527 SS1					Annotation submitted by DOE Joint Genome Institute	Scaffold	2013-07-26	AEHC02	504
Suiamp1	GCA_016584345.1		Suillus ampliporus	1912932		FC55					Annotation submitted by DOE Joint Genome Institute	Contig	2021-01-08	JABCPV01	1601
ASM186535v1	GCA_001865355.1	GCF_001865355.1	Cryptosporidium andersoni	117008					30847		Annotation submitted by Centers for Disease Control and Prevention	Scaffold	2016-11-03	LRBS01	135
ASM186535v1	GCF_001865355.1	GCA_001865355.1	Cryptosporidium andersoni	117008					30847		Annotation submitted by Centers for Disease Control and Prevention	Scaffold	2016-11-03	LRBS01	135
ASM1339775v1	GCA_013397755.1		Cnemophilus loriae	254448					B10K-DU-029-38	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VZTF01	17495
Oudmuc1	GCA_015501055.1		Mucidula mucida	139077		CBS 558.79					Annotation submitted by DOE Joint Genome Institute	Contig	2020-11-16	JADNYV01	1386
ASM1339687v1	GCA_013396875.1		Vireo altiloquus	34956					B10K-DU-001-22	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VZRF01	28485
Annmin1	GCA_022578535.1		Jackrogersella minutella	1955266		CBS 135445					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-02-28	JAJKKJ01	537
Sphbr2	GCA_008704415.1		Sphaerosporella brunnea	1250544		Sb_GMNB300					Annotation submitted by DOE Joint Genome Institute	Contig	2019-09-26	VXIS01	872
Morhum1	GCA_025677895.1		Podila humilis	64523					PMI 1414		Annotation submitted by DOE Joint Genome Institute	Contig	2022-10-13	JAMKHU01	523
ASM3217347v1	GCA_032173475.1		Amanita phalloides	67723				Native Forest			Annotation submitted by University of Wisconsin-Madison	Scaffold	2023-09-28	JAENRT01	605
ASM1339699v1	GCA_013396995.1		Dicaeum eximium	667154					B10K-DU-001-34	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VWZP01	16764
ASM1340011v1	GCA_013400115.1		Rhinopomastus cyanomelas	113115					B10K-DU-002-35	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VXBP01	21664
Crevar1	GCA_015657495.1		Crepidotus variabilis	179855		CBS 506.95					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-11-15	JADNRE01	435
Decga1	GCA_010015605.1		Decorospora gaudefroyi	184978		P77					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-29	JAADKE01	699
CPLU01	GCA_014235945.1		Colletotrichum plurivorum	2175906		LFN00145					Annotation submitted by University of Salamanca	Scaffold	2020-08-18	WIGO01	984
Schpa1	GCA_001020605.1		Schizopora paradoxa	27342		KUC8140					Annotation submitted by DOE Joint Genome Institute	Scaffold	2015-06-05	LBNM01	1291
Lacpsa1	GCA_025769895.1		Lactarius psammicola	1907521		BPL869					Annotation submitted by DOE Joint Genome Institute	Contig	2022-10-20	WTXK01	1433
ASM223496v2	GCA_002234965.2		Aspergillus turcosus	1245748		HMR AF 23					Annotation submitted by University of Montreal	Contig	2018-09-12	NKHV02	939
ASM1675896v1	GCA_016758965.1		Circinella minor	1195481		CBS 143.56					Annotation submitted by University of Warsaw	Scaffold	2021-01-27	JAEPRB01	10557
ASM1339801v1	GCA_013398015.1		Oreocharis arfaki	979223					B10K-DU-029-42	male	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VZRR01	27748
ASM1339691v1	GCA_013396915.1		Stercorarius parasiticus	54059					B10K-DU-001-20	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VWZL01	11280
