Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_003711585.2	ASM371158v2	Larimichthys crocea	215358					JMULYC20181020	female	Annotation submitted by Frasergen bioinfomatics	Chromosome	2019-11-14	REGW02	2698
GCA_900093555.2	GCA_900093555	Plasmodium vivax	5855							Annotation submitted by WTSI	Chromosome	2019-08-01	FLZR02	242
GCA_900093545.1	PvT01	Plasmodium vivax	5855							Annotation submitted by WTSI	Chromosome	2016-11-18	FLYH01	374
GCA_900093535.1	PvC01	Plasmodium vivax	5855							Annotation submitted by WTSI	Chromosome	2016-12-23	FLYI01	425
GCA_021461655.1	ASM2146165v1	Schistosoma japonicum	6182					SjaV3_Hu	male	Annotation submitted by Fudan University	Chromosome	2022-01-13	JAHRBV01	337
GCA_019096205.1	PxLV.1	Plutella xylostella	51655		LV			Lockyer Valley	female	Annotation submitted by University of Adelaide	Chromosome	2021-07-02	JAHIBW01	383
GCA_008761655.1	Gossypium_barbadense_v1.1	Gossypium barbadense	3634					1400233.01		Annotation submitted by HudsonAlpha Genome Sequencing Center	Chromosome	2019-10-08	VKDL01	4748
GCA_014300015.1	MPIA_NFZ_2.0	Nothobranchius furzeri	105023		GRZ				male	Annotation submitted by Max Planck Institute for Biology of Ageing	Chromosome	2020-08-27	JAAVVJ01	40229
GCA_003316995.2	ASM331699v2	Fusarium verticillioides	117187		BRIP53590					Annotation submitted by CSIRO	Chromosome	2018-11-02	QKXB01	258
GCA_003317015.2	ASM331701v2	Fusarium verticillioides	117187		BRIP53263					Annotation submitted by CSIRO	Chromosome	2018-11-02	QJUS01	153
GCA_003316975.2	ASM331697v2	Fusarium verticillioides	117187		BRIP14953					Annotation submitted by CSIRO	Chromosome	2018-11-02	QFXM01	255
GCA_900044335.1	PbK173	Plasmodium berghei	5821		K173					Annotation submitted by SC	Chromosome	2016-02-18	FFUQ01	478
GCA_900095585.1	PbSP11RLL	Plasmodium berghei	5821		SP11 RLL					Annotation submitted by WTSI	Chromosome	2016-11-23	FMIH01	267
GCA_900095545.1	PBNK65NY	Plasmodium berghei	5821		NK65 ny					Annotation submitted by WTSI	Chromosome	2020-07-13	FMIE01	302
GCA_900095635.1	PbSP11A	Plasmodium berghei	5821		SP11 Antwerpcl1					Annotation submitted by WTSI	Chromosome	2016-11-23	FMII01	322
GCA_900088445.1	PbNK65E	Plasmodium berghei	5821		NK65e					Annotation submitted by WTSI	Chromosome	2016-11-22	FLVA01	308
GCA_001708085.1	ASM170808v1	Komagataella phaffii	460519		WT					Annotation submitted by Massachusetts Institute of Technology	Chromosome	2016-08-12		7
GCA_001746955.1	ASM174695v1	Komagataella phaffii GS115	644223		GS115					Annotation submitted by Massachusetts Institute of Technology	Chromosome	2016-09-21		10
GCA_964260575.1	gadmorasm	Gadus morhua 'NCC'	328277							Annotation submitted by Earth Biogenome Project Norway	Chromosome	2024-09-06	CAXVOI01	4074
GCA_026225685.1	Pinf1306_UCR_1	Phytophthora infestans	4787		1306					Annotation submitted by University of California	Chromosome	2022-11-18	JAOYOA01	632
GCA_036320975.1	ZSTU_Garb	Gossypium arboreum	29729			ZB1				Annotation submitted by zhejiang sci-tech university	Chromosome	2024-01-31	JARKNE01	52
GCA_024505715.1	ASM2450571v1	Catharanthus roseus	4058					sample1		Annotation submitted by IMPLAD	Chromosome	2022-08-02	JAMLDZ01	321
GCA_036851125.1	USDA_IMC_67	Theobroma cacao	3641			IMC 67				Annotation submitted by University of Nebraska Lincoln	Chromosome	2024-02-26	JAULCW01	141
GCA_036851095.1	USDA_SCA_6	Theobroma cacao	3641			SCA 6				Annotation submitted by University of Nebraska Lincoln	Chromosome	2024-02-26	JAULCV01	149
GCA_036851155.1	USDA_POUND_7	Theobroma cacao	3641			Pound 7				Annotation submitted by University of Nebraska Lincoln	Chromosome	2024-02-26	JAULCX01	1482
GCA_029852735.1	ASM2985273v1	Persea americana	3435			Hass		MH2022		Annotation submitted by University of Queensland	Chromosome	2023-04-21	JAQQXO01	482
GCA_029852705.2	AS_PC9.15	Pleurotus ostreatus	5322		PC9.15					Annotation submitted by Academia Sinica	Chromosome	2023-05-15	JAQZRA01	13
GCA_018320845.1	ANANG_Geno_1.0	Anguilla anguilla	7936					tag_6206	female	Annotation submitted by GenoFish	Chromosome	2021-05-12	JAFIRN01	1466
GCA_038387795.1	ASM3838779v1	Scylla paramamosain	85552	nansha				LZ_2023a	female	Annotation submitted by Sun Yat-sen University	Chromosome	2024-04-22	JARAKH01	6420
GCA_014319735.1	ASM1431973v1	Nelumbo nucifera	4432			China Antique				Annotation submitted by Wuhan Botanical Garden, Chinese Academy of Sciences	Chromosome	2020-08-27	DUZY01	461
GCA_948472305.1	Hedin2 genome v1	Vicia faba	3906							Annotation submitted by faba bean genome consortium	Chromosome	2023-05-11	CATIWC01	3983
GCA_015852605.2	ASM1585260v2	Populus deltoides	3696			I-69			female	Annotation submitted by Nanjing Forestry University	Chromosome	2021-12-20	JACEGQ02	264
GCA_015476405.1	ASM1547640v1	Lentinula edodes	5353		L808					Annotation submitted by Gooalgene	Chromosome	2020-11-16	JABFYJ01	25
GCA_020424065.1	ASM2042406v1	Prunus armeniaca	36596			Yinxiangbai Xing				Annotation submitted by Liaoning Institute of Pomology	Chromosome	2021-10-12	JADDKH01	228
GCA_964259005.1	CUR.v1	Prunus armeniaca	36596							Annotation submitted by MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Chromosome	2024-09-05	CAXVID01	42
GCA_964056625.1	ora.v1	Prunus armeniaca	36596							Annotation submitted by MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Chromosome	2024-06-19	CAXKSY02	34
GCA_000612305.2	Egrandis2_0	Eucalyptus grandis	71139			BRASUZ1			monecious	Annotation submitted by Geneglob	Chromosome	2023-11-08	AUSX02	5224
GCA_019721115.1	AMEX_1.1	Astyanax mexicanus	7994				Pachon cave	Pach_M1	male	Annotation submitted by GenoFish	Chromosome	2021-08-25	JAICCE01	195
GCA_000710275.1	ASM71027v1	Penicillium chrysogenum	5076		P2niaD18					Annotation submitted by Ruhr-Univeristaet Bochum	Chromosome	2014-06-23	JMSF01	4
GCA_025169535.1	ASM2516953v1	Puccinia striiformis f. sp. tritici	168172		CYR34					Annotation submitted by Washington State University	Chromosome	2022-09-14	JANSJV01	89
GCA_025169555.1	ASM2516955v1	Puccinia striiformis f. sp. tritici	168172		93-210					Annotation submitted by Washington State University	Chromosome	2022-09-14	JANSJU01	137
GCA_900002395.1	PYYM01	Plasmodium yoelii	5861					YM		Annotation submitted by SC	Chromosome	2014-08-27		195
GCA_051857295.1	ASM5185729v1	Erythranthe guttata	4155			IM767				Annotation submitted by DOE Joint Genome Institute	Chromosome	2025-08-06	JBPXET01	17
GCA_051942635.1	ASM5194263v1	Erythranthe guttata	4155			IM62-2021				Annotation submitted by DOE Joint Genome Institute	Chromosome	2025-08-12	JBPPZJ01	23
GCA_917880025.4	PGI_APHIGO_v101	Aphis gossypii	80765							Annotation submitted by ROTHAMSTED RESEARCH	Chromosome	2022-10-18	CAKJTX04	14
GCA_000149385.1	ASM14938v1	Cryptococcus deneoformans B-3501A	283643		B-3501A					Annotation submitted by Stanford University	Chromosome	2004-07-16	AAEY01	14
GCF_000149385.1	ASM14938v1	Cryptococcus deneoformans B-3501A	283643		B-3501A					Annotation submitted by Stanford University	Chromosome	2004-07-16	AAEY01	14
GCA_014872705.1	ASM1487270v1	Agaricus bisporus var. burnettii	192524		H119_p4					Annotation submitted by Utrecht University	Chromosome	2020-10-21	JABXXO01	16
GCA_004786185.1	ASM478618v1	Channa argus	215402					OARG1902GOOAL	female	Annotation submitted by Gooalgene	Chromosome	2019-04-15	SIWR01	562
GCA_021556725.1	ASM2155672v1	Echinococcus granulosus	6210					EgG1s_protoscolex		Annotation submitted by University of Melbourne	Chromosome	2022-01-24	JAIKUZ01	31
GCA_003046395.2	Pm_0390_v2	Panicum miliaceum	4540							Annotation submitted by Shanghai Center for Plant Stress Biology	Chromosome	2018-10-25	PQIB02	1305
GCA_025434175.2	UNM_BgiM_2.0	Biomphalaria glabrata	6526					iM		Annotation submitted by Center for Evolutionary and Theoretical Immunology	Chromosome	2024-03-18	JAKZJL02	215
GCA_048402855.1	Glycine_soja_Yongin-0_v1.0	Glycine soja	3848					Yongin-0		Annotation submitted by Korea Research Institute of Bioscience and Biotechnology	Chromosome	2025-03-05	JAUTYY01	518
GCA_014282345.1	WHFS_GsojaF_1.0	Glycine soja	3848			F				Annotation submitted by Frasergen Bioinformatics Inc	Chromosome	2020-08-25	WIXD01	317
GCA_009650675.1	ASM965067v1	Talaromyces marneffei	37727		11CN-03-130					Annotation submitted by Broad Institute	Chromosome	2019-11-14	WINJ01	9
GCA_029852925.1	ASM2985292v1	Mythimna separata	271217					BeijingLab		Annotation submitted by Chinese Academy of Agricultural Sciences	Chromosome	2023-04-21	JARGEI01	65
GCA_021292205.2	OSU_Pdul_2.5	Prunus dulcis	3755			Nonpareil		clone GOH B32 T37-40		Annotation submitted by Ohio State University	Chromosome	2022-07-14	JAJFAZ02	103
GCA_013339765.2	BIME_HaeL_1.3	Haemaphysalis longicornis	44386					HaeL-2018		Annotation submitted by TIGMIC Group	Chromosome	2020-06-16	JABSTR01	3885
GCA_008124465.1	ASM812446v1	Cocos nucifera	13894			Hainan Tall coconut				Annotation submitted by Hainan Key Laboratory of Tropical Oil Crops Biology /Coconut Research Institute	Chromosome	2019-08-29	VOII01	113653
GCA_032173615.1	drTriRepe4_hap1_1.5	Trifolium repens	3899				Florida	GFL-007		Annotation submitted by Washington University in St Louis	Chromosome	2023-09-29	JAVQLX01	885
GCA_020796215.1	XSv2.1f	Xanthoceras sorbifolium	99658			Jinguanxiapei				Annotation submitted by Ori-Gene Co. Ltd.	Chromosome	2021-11-08	JAFEMO01	986
GCA_004320505.1	Vangularis_v1	Vigna angularis var. angularis	157739			Shumari				Annotation submitted by National Institute of Agrobiological Sciences, Japan	Chromosome	2015-12-17		2261
GCA_040584065.1	ASM4058406v1	Brassica carinata	52824			101.67		Ethiopian		Annotation submitted by Huazhong Agricultural University	Chromosome	2024-07-11	JASCRP01	268
GCA_030254885.1	VITMroCarlos_v1.3	Vitis rotundifolia	103349			Carlos				Annotation submitted by University of Tennessee	Chromosome	2023-06-12	JARBHA01	75
GCA_018689175.1	C.illinoinensisElliott_v1	Carya illinoinensis	32201			Elliott				Annotation submitted by DOE Joint Genome Institute	Chromosome	2021-07-14	JAEUGT01	829
GCA_016808215.1	C.illinoinensisOaxaca_v1	Carya illinoinensis	32201			87MX3-2.11				Annotation submitted by DOE Joint Genome Institute	Chromosome	2021-02-10	JAEUGQ01	552
GCA_018688675.1	C.illinoinensisLakota_v1	Carya illinoinensis	32201			Lakota				Annotation submitted by DOE Joint Genome Institute	Chromosome	2021-06-08	JAEUGR01	499
GCA_016771965.1	ASM1677196v1	Brassica carinata	52824					sxm20200214		Annotation submitted by North China University of Science and Technology	Chromosome	2021-01-29	JAAMPC01	1636
GCA_016413885.1	Elo_Vpla-B_alternate_1.0	Vanilla planifolia	51239			Daphna				Annotation submitted by Elo Life Systems	Chromosome	2020-12-28	JADCNM01	668
GCA_016413895.1	Elo_Vpla-A_principal_1.0	Vanilla planifolia	51239			Daphna				Annotation submitted by Elo Life Systems	Chromosome	2020-12-28	JADCNL01	667
GCA_949352195.3	trifolium_pratense_var_milvus_v3	Trifolium pratense	57577							Annotation submitted by Earlham Institute	Chromosome	2023-10-25	CASHSV03	131
GCA_927797965.1	BraLan3	Branchiostoma lanceolatum	7740							Annotation submitted by lausanne university	Chromosome	2022-02-02	CAKMNS01	482
GCA_013467475.1	ASM1346747v1	Gossypium raimondii	29730					8		Annotation submitted by Mississippi State University	Chromosome	2020-09-03	JABEZZ01	94517
GCA_026652325.1	ASM2665232v1	Pleurodeles waltl	8319					20211129_DDA	female	Annotation submitted by The Max Planck Institute of Molecular Cell Biology and Genetics	Chromosome	2022-12-05	JANPWB01	266
GCA_951406725.2	xcOctVulg1.2	Octopus vulgaris	6645							Annotation submitted by KU Leuven	Chromosome	2023-08-19	CATOCA02	226
GCA_001703955.2	RBG5266v2	Fusarium pseudograminearum	101028		RBG5266					Annotation submitted by CSIRO	Chromosome	2016-08-12	JTGC01	77
GCA_020875875.1	Dalata_v2	Dioscorea alata	55571			TDa95/00328				Annotation submitted by University of California Berkeley	Chromosome	2021-11-16	JAFBII01	25
GCA_000733195.1	A_alpina_V4	Arabis alpina	50452			Pajares				Annotation submitted by TRANSNET	Chromosome	2014-08-12	JNGA01	27779
GCA_000569095.1	NagaB31_1.0	Nannochloropsis gaditana	72520		B-31					Annotation submitted by CRIBI Genomics University of Padova	Chromosome	2014-02-18	AZIL01	682
GCA_951394145.2	mRanTar1.2.h2	Rangifer tarandus platyrhynchus	3082113							Annotation submitted by ELIXIR Norway	Chromosome	2025-03-21	CATOBB02	1213
GCA_046862475.1	AT_CHR_v1.0	Amborella trichopoda	13333					SCBG20184041		Annotation submitted by Ori-Gene Co. Ltd.	Chromosome	2025-01-22	JAIWHU01	16
GCA_048537475.1	ASM4853747v1	Zizania latifolia	58934			Jiaobai		YH-2024		Annotation submitted by Wuhan Botanical Garden, Chinese Academy of Sciences	Chromosome	2025-03-10	JBFMIG01	289
GCA_033026395.1	P_vachelli_1.0	Tachysurus vachellii	175792					PRFRI_2022a	male	Annotation submitted by Pearl River Fisheries Research Institute, Chinese Academy of Fishery Sciences	Chromosome	2023-10-25	JAVHJS01	32
GCA_024505685.1	BA788	Leishmania braziliensis	5660		BA788					Annotation submitted by UFMG	Chromosome	2022-08-02	JAMFLV01	50
GCA_000818155.1	ASM81815v1	Cytospora mali	578113		03-8					Annotation submitted by Northwest A&F University	Chromosome	2015-01-20	JUIY01	353
GCA_051903815.1	ASM5190381v1	Mikania micrantha	192012					Mmic-tissue_culture-NLD01		Annotation submitted by Sun Yat-sen University	Chromosome	2025-08-08	JAWVAX01	899
GCA_008787405.2	UCB_Mree_1.1	Muntiacus reevesi	9886					UCam_UCB_Mr	male	Annotation submitted by University of California, Berkeley	Chromosome	2019-10-07	VCEB01	29705
GCA_002197005.1	CerEla1.0	Cervus elaphus hippelaphus	46360					Hungarian	male	Annotation submitted by National Agricultural Research and Innovation Centre	Chromosome	2017-06-19	MKHE01	11479
GCA_026573395.1	P.vaginatum v3.1	Paspalum vaginatum	158149							Annotation submitted by DOE Joint Genome Institute	Chromosome	2022-12-06	JAPDNB01	2211
GCA_041721565.1	HispidOSU	Sigmodon hispidus	42415					Hsd	male	Annotation submitted by The Ohio State University	Chromosome	2024-09-03	JAIWPY01	16480
GCA_900059795.1	AUK_PRJEB4211_v1	Coffea canephora	49390		DH200=94					Annotation submitted by Genoscope CEA	Chromosome	2014-08-21	CBUE02	13345
GCA_002223825.1	C.hominis.v1	Cryptosporidium hominis	237895							Annotation submitted by UDEA	Chromosome	2015-12-11	CXWB01	12
GCA_037962975.1	Cter_1	Clitoria ternatea	43366					LY-2023		Annotation submitted by Agricultural Genomics Institute at Shenzhen,Chinese Academy of Agricultural Sciences	Chromosome	2024-04-04	JAYKXN01	506
GCA_965140275.1	rCarCar1.hap2	Caretta caretta	8467					rCarCar2		Annotation submitted by Vertebrate Genomes Project	Chromosome	2025-02-13	CBCSHG01	33
GCA_040581525.1	ASM4058152v1	Loxostege sticticalis	481309					AQ026	male	Annotation submitted by Institute of Grassland Research of Chinese Academy of Agricultural Sciences	Chromosome	2024-07-11	JBEUOH01	85
GCA_965117115.1	CarCar_QM_v1.21.12_Sc	Caretta caretta	8467							Annotation submitted by Queen Mary University of London	Chromosome	2025-01-24	CBCPEM01	726
GCA_019321725.1	Paulownia fortunei Genome V1.0	Paulownia fortunei	586722					PF2021		Annotation submitted by Henan Agricultural university	Chromosome	2021-07-22	JAGSPU01	1677
GCA_902860245.1	LSAL_IOA00-2.0	Lepeophtheirus salmonis	72036		IoA-00					Annotation submitted by Institute of Aquaculture, University of Stirling, Stirling, UK	Chromosome	2021-09-28	CADILO04	154
GCA_905330665.1	LSAL_IOA00_R2	Lepeophtheirus salmonis	72036		IoA-00					Annotation submitted by Institute of Aquaculture, University of Stirling, Stirling, UK	Chromosome	2021-03-19	CAJNVT01	296
GCA_047496915.1	GN956_1.1	Arapaima gigas	113544				Brazil	ID F3	female	Annotation submitted by University of Wuerzburg	Chromosome	2025-02-07	JAIQCP01	49416
GCA_007844225.2	AGIG_2.1	Arapaima gigas	113544				Brazil	M14	male	Annotation submitted by University of Wuerzburg	Chromosome	2025-02-12	VFQV02	56524
GCA_912172775.2	Fraxinus pennsylvanica genome version 1.5	Fraxinus pennsylvanica	56036							Annotation submitted by UNIVERSITY OF TENNESSEE- KNOXVILLE	Chromosome	2023-05-17	CAJVVE02	110
GCA_022813025.1	PTR_B91	Pyrenophora tritici-repentis	45151					Biotrigo9-1		Annotation submitted by Curtin University	Chromosome	2022-04-04	JAHCYZ01	71
GCA_003231415.2	CUR_PtrDW5_2.1	Pyrenophora tritici-repentis	45151		DW5					Annotation submitted by Curtin University	Chromosome	2020-09-21	MUXC02	58
GCA_003231325.2	CUR_Ptr134_2.0	Pyrenophora tritici-repentis	45151		134					Annotation submitted by Curtin University	Chromosome	2021-09-09	MVBF02	27
GCA_022813065.1	ASM2281306v1	Pyrenophora tritici-repentis	45151					L13-192		Annotation submitted by Curtin University	Chromosome	2022-04-04	JAHCSW01	55
GCA_022837075.1	CUR_Ptr902_1.0	Pyrenophora tritici-repentis	45151		Ptr90-2					Annotation submitted by Curtin University	Chromosome	2022-04-08	JAAFOX01	151
GCA_003231425.2	Ptr86-124.v2	Pyrenophora tritici-repentis	45151		86-124					Annotation submitted by Curtin University	Chromosome	2022-03-30	NRDI02	135
GCA_900095555.1	PchAJ	Plasmodium chabaudi chabaudi	31271		AJ					Annotation submitted by WTSI	Chromosome	2020-07-13	FMIL01	474
GCA_900095605.1	PchCB	Plasmodium chabaudi chabaudi	31271		CB					Annotation submitted by WTSI	Chromosome	2016-11-23	FMIM01	444
GCA_900232045.3	PTTW11	Pyrenophora teres f. teres	97479					W1-1		Annotation submitted by CURTIN UNIVERSITY	Chromosome	2021-09-24	OCTH03	57
GCA_006112615.1	ASM611261v1	Pyrenophora teres f. teres 0-1	861557					0-1		Annotation submitted by NDSU	Chromosome	2019-06-06	NPOS01	54
GCA_900095565.1	PchDK	Plasmodium chabaudi adami	5826		DK					Annotation submitted by WTSI	Chromosome	2016-11-23	FMIO01	661
GCA_900095625.1	PchDS	Plasmodium chabaudi adami	5826		DS					Annotation submitted by WTSI	Chromosome	2020-07-13	FMIN01	604
GCA_964270995.1	MACMADH1_v1	Musa hybrid cultivar	491892							Annotation submitted by Genoscope	Chromosome	2024-09-29	CAXWTC01	13
GCA_964270695.1	MACMADH2_v1	Musa hybrid cultivar	491892							Annotation submitted by Genoscope	Chromosome	2024-09-29	CAXWTD01	13
GCA_047288015.1	OUC_Can_1.0	Mactra antiquata	2302425					YW-2024a		Annotation submitted by Ocean University of China	Chromosome	2025-01-28	JBLEAB01	111
GCA_000003225.1	ASM322v1	Theileria annulata	5874		Ankara isolate clone C9					Annotation submitted by The Sanger Institute	Chromosome	2005-07-29		7
GCA_964260585.1	lotlotasm	Lota lota	69944							Annotation submitted by Earth Biogenome Project Norway	Chromosome	2024-09-06	CAXVOF01	2219
GCA_029228495.1	ASM2922849v1	Salix purpurea	77065			94001			male	Annotation submitted by Cornell University	Chromosome	2023-03-20	JAPFFK01	1468
GCA_029030655.1	ASM2903065v1	Salix suchowensis	1278906			P63				Annotation submitted by Cornell University	Chromosome	2023-03-14	JAPFFG01	1412
GCA_029030645.1	ASM2903064v1	Salix suchowensis	1278906			P294				Annotation submitted by Cornell University	Chromosome	2023-03-14	JAPFFI01	1756
GCA_964199295.2	IXPE_v2	Ixodes persulcatus	34615							Annotation submitted by Genoscope	Chromosome	2025-07-20	CAXMZA02	88674
GCA_003061485.1	PhalliiHAL_v2.1	Panicum hallii var. hallii	1504633		HAL2					Annotation submitted by DOE Joint Genome Institute	Chromosome	2018-04-25	QAVV01	144
GCA_963978565.1	Citrullus_colocynthis.asm-v1	Citrullus colocynthis	252529							Annotation submitted by International Center for Biosaline Agriculture	Chromosome	2024-07-06	CAXBTG01	85
GCA_040955965.1	ASM4095596v1	Cirrhinus molitorella	172907					GT-2023	male	Annotation submitted by SUN YAT-SEN UNIVERSITY	Chromosome	2024-08-01	JAYMGO01	229
GCA_007990485.1	Gossypium_tomentosum_v1.1	Gossypium tomentosum	34277					7179.01		Annotation submitted by HudsonAlpha Genome Sequencing Center	Chromosome	2019-08-27	VKGE01	749
GCA_944470465.2	tdSchHaem2.2	Schistosoma haematobium	6185							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-20	CALYCX02	187
GCA_944470455.2	tdSchHaem1.2	Schistosoma haematobium	6185							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-20	CALYCW02	77
GCA_004379255.2	SspV2	Salvia splendens	180675					huo1		Annotation submitted by Beijing Forestry University	Chromosome	2021-05-20	PNBA02	1177
GCA_026979955.1	Mus_1.0	Megalurothrips usitatus	439358					cailab_2022a		Annotation submitted by China Agriculture University	Chromosome	2022-12-21	JAPTSV01	907
GCA_903961255.1	PGI_CINC_v6	Chrysodeixis includens	689277							Annotation submitted by ROTHAMSTED RESEARCH	Chromosome	2022-07-12	CAJCES03	85
GCA_900097025.1	PRG01	Plasmodium reichenowi	5854							Annotation submitted by WTSI	Chromosome	2018-03-27	OFAE01	48
GCA_014871845.1	CpurpureusGG1_1_0	Ceratodon purpureus	3225		GG1				female	Annotation submitted by DOE Joint Genome Institute	Chromosome	2020-12-28	JACMSB01	558
GCA_050230495.1	ASM5023049v1	Vitis piasezkii	228411					Baishui-40		Annotation submitted by Northwest A&F University	Chromosome	2025-05-07	JBDIVC01	333
GCA_030979865.1	UCONN_Acsa_2	Acer saccharum	4024					1353-84*A		Annotation submitted by University of Connecticut	Chromosome	2023-08-30	JAUUCP01	143
GCA_018258275.1	ASM1825827v1	Solanum commersonii	4109					LZ3.2		Annotation submitted by Rural Development Administration	Chromosome	2021-05-04	JACXVP01	489
GCA_029228465.1	ASM2922846v1	Salix viminalis	40686			JORR			male	Annotation submitted by Cornell University	Chromosome	2023-03-20	JAPFFL01	1008
GCA_048596035.1	Gff_UG_hifiasm_2025_v1	Glossina fuscipes fuscipes	201502					Gff_UG_2023	female	GCA_048596035.1-GB_2025_06_07	Chromosome	2025-03-18	JBLYTO01	147
GCA_049640005.1	Gff_IAEA_hifiasm_2025_v1	Glossina fuscipes fuscipes	201502					Gff_IAEA_2023	female	GCA_049640005.1-GB_2025_07_24	Chromosome	2025-04-15	JBMBTD01	78
GCA_051938685.1	ASM5193868v1	Gaeumannomyces tritici	36779		Gt-4e					Annotation submitted by Designing Future Wheat	Chromosome	2025-08-12	JBNOKB01	43
GCA_051938765.1	ASM5193876v1	Gaeumannomyces tritici	36779		Gt-8d					Annotation submitted by Designing Future Wheat	Chromosome	2025-08-12	JBNOKE01	38
GCA_051938735.1	ASM5193873v1	Gaeumannomyces tritici	36779		Gt-23d					Annotation submitted by Designing Future Wheat	Chromosome	2025-08-12	JBNOKC01	52
GCA_051938715.1	ASM5193871v1	Gaeumannomyces tritici	36779		Gt-19d1					Annotation submitted by Designing Future Wheat	Chromosome	2025-08-12	JBNOKD01	61
GCA_051938625.1	ASM5193862v1	Gaeumannomyces tritici	36779		Gt-LH10					Annotation submitted by Designing Future Wheat	Chromosome	2025-08-12	JBNOKA01	330
GCA_965152285.1	rEreImb1.hap2	Eretmochelys imbricata	27787					rEreImb1		Annotation submitted by Vertebrate Genomes Project	Chromosome	2025-02-16	CBCUCH01	41
GCA_965152235.1	rEreImb1.hap1	Eretmochelys imbricata	27787					rEreImb1		Annotation submitted by Vertebrate Genomes Project	Chromosome	2025-04-10	CBCUCG01	56
GCA_965212775.1	bBubSca1.1.h2	Bubo scandiacus	371907							Annotation submitted by ELIXIR Norway	Chromosome	2025-03-20	CBDBYM01	639
GCA_035582445.1	ASM3558244v1	Trapa incisa	236973			xiguoyeling				Annotation submitted by Zhejiang University	Chromosome	2024-01-12	JAXIOK01	246
GCA_019455425.1	ASM1945542v1	Gossypium anomalum	47600					JFW-Udall		Annotation submitted by NCGR	Chromosome	2021-08-09	JAHUZN01	68
GCA_009078335.1	ASM907833v1	Salix brachista	2182728					br00	female	Annotation submitted by Chinese Academy of Sciences	Chromosome	2019-10-22	VDCV01	28
GCA_002742825.1	nigoni.pc_2016.07.14	Caenorhabditis nigoni	1611254		JU1422					Annotation submitted by Cornell University	Chromosome	2017-11-06	PDUG01	155
GCA_944470445.2	tdSchBovi2.2	Schistosoma bovis	6184							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-20	CALYCV02	131
GCA_026225835.1	ASM2622583v1	Periophthalmus magnuspinnatus	409849				Guangdong	CB-2022	female	Annotation submitted by Pisicola San Silvestre, ISAGEN	Chromosome	2022-11-18	JANIXA01	241
GCA_007990455.1	Gossypium_mustelinum_v1.1	Gossypium mustelinum	34275					1408120.09		Annotation submitted by HudsonAlpha Genome Sequencing Center	Chromosome	2019-08-27	VKGF01	2146
GCA_019512145.1	UCB_Epus_1.0	Engystomops pustulosus	76066					237g6f4	female	Annotation submitted by University of California, Berkeley	Chromosome	2021-08-10	WNYA01	108304
GCA_023972475.1	ASM2397247v1	Silurus meridionalis	175797					SMseq001	male	Annotation submitted by Southwest University	Chromosome	2022-07-06	QQBD01	29166
GCA_035196885.1	UCD_CFR4	Fulvia fulva	5499		Race 4					Annotation submitted by University of California	Chromosome	2024-01-12	JARJJH01	15
GCA_035196915.1	UCD_Clafu_0WU	Fulvia fulva	5499		0WU					Annotation submitted by University of California	Chromosome	2024-01-12	JARNMG01	17
GCA_000230245.1	ASM23024v1	Sporisorium reilianum SRZ2	999809							Annotation submitted by Munich Information Center for Protein Sequences	Chromosome	2011-08-11		44
GCA_051225895.1	CfHapA	Camellia fascicularis	147913					JXC2025		Annotation submitted by Chinese Academy of Sciences (CAS)	Chromosome	2025-07-07	JBPKBA01	104
GCA_965140255.1	rLepOli2.hap2	Lepidochelys olivacea	27788					rLepOli2		Annotation submitted by Vertebrate Genomes Project	Chromosome	2025-02-13	CBCSHC01	40
GCA_965140285.1	rLepKem1.hap1	Lepidochelys kempii	8472					rLepKem1		Annotation submitted by Vertebrate Genomes Project	Chromosome	2025-03-26	CBCSHR01	54
GCA_015731905.1	SDv1.1	Salix dunnii	1413687					FAFU-HL-1	female	Annotation submitted by Fujian Argriculture and Forestry University	Chromosome	2020-12-11	JADGMS01	27
GCA_037504845.1	fPhoPho.hap2	Phoxinus phoxinus	58324					ZFMK-TIS-60720	male	Annotation submitted by Leibniz Institute for the analysis of biodiversity change	Chromosome	2024-03-25	JAYKXH01	81
GCA_037504875.1	fPhoPho.hap1	Phoxinus phoxinus	58324					ZFMK-TIS-60720	male	Annotation submitted by Leibniz Institute for the analysis of biodiversity change	Chromosome	2024-03-25	JAYKXG01	101
GCA_014282245.1	ASM1428224v1	Rhododendron simsii	118357					adult_tree_wgs_1		Annotation submitted by Ori-Gene Co. Ltd.	Chromosome	2020-08-25	WJXA01	550
GCA_029692045.1	COCON_1.0	Conger conger	82655					Concon-B	female	Annotation submitted by GenoFish	Chromosome	2023-04-12	JAFJMO01	1686
