"","hit_id","query_id","hit_eval","hit_bitscore","hit_description"
"514","NP_001162858.1","Mass_AKT_Aligned",4.9e-25,95.7,"foraging, isoform K [Drosophila melano"
"515","NP_001334731.1","Mass_AKT_Aligned",4.9e-25,95.7,"foraging, isoform L [Drosophila melano"
"516","NP_001356892.1","Mass_AKT_Aligned",4.9e-25,95.7,"foraging, isoform M [Drosophila melano"
"517","NP_001356896.1","Mass_AKT_Aligned",4.9e-25,95.7,"foraging, isoform N [Drosophila melano"
"518","NP_001356955.1","Mass_AKT_Aligned",4.9e-25,95.7,"foraging, isoform O [Drosophila melano"
"519","NP_477487.1","Mass_AKT_Aligned",4.9e-25,95.7,"foraging, isoform A [Drosophila melano"
"520","NP_477489.1","Mass_AKT_Aligned",4.9e-25,95.7,"foraging, isoform C [Drosophila melano"
"521","NP_477490.1","Mass_AKT_Aligned",4.9e-25,95.7,"foraging, isoform E [Drosophila melano"
"522","NP_599146.1","Mass_AKT_Aligned",4.9e-25,95.7,"foraging, isoform D [Drosophila melano"
"523","NP_995628.1","Mass_AKT_Aligned",4.9e-25,95.7,"foraging, isoform H [Drosophila melano"
"524","NP_995626.1","Mass_AKT_Aligned",4.9e-25,95.7,"foraging, isoform I [Drosophila melano"
"525","NP_995629.1","Mass_AKT_Aligned",4.9e-25,95.7,"foraging, isoform G [Drosophila melano"
"526","NP_609349.1","Mass_AKT_Aligned",2.8e-21,83.2,"uncharacterized protein Dmel_CG4839, i"
"527","NP_723525.1","Mass_AKT_Aligned",2.8e-21,83.2,"uncharacterized protein Dmel_CG4839, i"
"528","NP_477213.1","Mass_AKT_Aligned",9.7e-20,78.1,"protein kinase, cGMP-dependent at 21D"
"529","NP_001263143.1","Mass_AKT_Aligned",3.7e-17,69.5,"G protein-coupled receptor kinase 2, i"
"530","NP_476867.1","Mass_AKT_Aligned",3.7e-17,69.5,"G protein-coupled receptor kinase 2, i"
"531","NP_733403.1","Mass_AKT_Aligned",5.8e-14,58.9,"warts [Drosophila melanogaster]"
"532","NP_995893.1","Mass_AKT_Aligned",1.9e-10,47.2,"par-1, isoform H [Drosophila melanogas"
"533","NP_523837.2","Mass_AKT_Aligned",7e-10,45.3,"genghis khan [Drosophila melanogaster]"
"534","NP_001163211.1","Mass_AKT_Aligned",2.1e-09,43.8,"par-1, isoform T [Drosophila melanogas"
"535","NP_001163208.1","Mass_AKT_Aligned",5.8e-09,42.3,"par-1, isoform P [Drosophila melanogas"
"536","NP_733397.2","Mass_AKT_Aligned",1.4e-08,41,"protein kinase, cAMP-dependent, cataly"
"537","NP_001163209.1","Mass_AKT_Aligned",1.7e-08,40.7,"par-1, isoform R [Drosophila melanogas"
"538","NP_995899.2","Mass_AKT_Aligned",2.3e-08,40.3,"par-1, isoform V [Drosophila melanogas"
"539","NP_001163210.1","Mass_AKT_Aligned",1.6e-06,34.1,"par-1, isoform S [Drosophila melanogas"
"540","NP_001014540.2","Mass_AKT_Aligned",2.5e-06,33.5,"par-1, isoform W [Drosophila melanogas"
"541","NP_001014542.1","Mass_AKT_Aligned",3.5e-06,33,"par-1, isoform L [Drosophila melanogas"
"542","NP_995900.1","Mass_AKT_Aligned",3.6e-06,33,"par-1, isoform A [Drosophila melanogas"
"543","NP_995894.2","Mass_AKT_Aligned",3.6e-06,33,"par-1, isoform X [Drosophila melanogas"
"544","NP_524595.2","Mass_AKT_Aligned",2.1e-05,30.5,"protein kinase, cAMP-dependent, cataly"
"545","NP_651819.1","Mass_AKT_Aligned",0.096,18.3,"uncharacterized protein Dmel_CG12069,"
"546","NP_733396.3","Mass_AKT_Aligned",0.096,18.3,"uncharacterized protein Dmel_CG12069,"
"547","NP_001261768.1","Mass_AKT_Aligned",0.099,18.2,"sticky, isoform B [Drosophila melanoga"
"548","NP_569972.1","Mass_AKT_Aligned",0.19,17.3,"Salt-inducible kinase 2 [Drosophila me"
"549","NP_001285335.1","Mass_AKT_Aligned",0.24,17,"Rho kinase, isoform B [Drosophila mela"
"550","NP_001285336.1","Mass_AKT_Aligned",0.24,17,"Rho kinase, isoform C [Drosophila mela"
"551","NP_536796.2","Mass_AKT_Aligned",0.24,17,"Rho kinase, isoform A [Drosophila mela"
"552","NP_648584.1","Mass_AKT_Aligned",0.28,16.7,"sticky, isoform A [Drosophila melanoga"
"553","NP_788574.3","Mass_AKT_Aligned",1,14.9,"uncharacterized protein Dmel_CG32944,"
"554","NP_524170.2","Mass_AKT_Aligned",3.4,13.1,"tricornered, isoform A [Drosophila mel"
"555","NP_001014431.1","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"556","NP_001014432.1","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"557","NP_001369360.1","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"558","NP_001369361.1","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"559","NP_001369362.1","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"560","NP_001369359.1","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"561","NP_005154.2","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"562","XP_047287025.1","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"563","XP_047287026.1","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"564","XP_047287027.1","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"565","XP_047287028.1","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"566","XP_047287030.1","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"567","XP_047287031.1","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"568","XP_047287029.1","Mass_AKT_Aligned",0,1307.3,"RAC-alpha serine/threonine-protein kin"
"569","NP_001357003.1","Mass_AKT_Aligned",0,1117.5,"RAC-gamma serine/threonine-protein kin"
"570","NP_005456.1","Mass_AKT_Aligned",0,1117.5,"RAC-gamma serine/threonine-protein kin"
"571","XP_054184598.1","Mass_AKT_Aligned",0,1117.5,"RAC-gamma serine/threonine-protein kin"
"572","NP_001617.1","Mass_AKT_Aligned",0,1108.7,"RAC-beta serine/threonine-protein kina"
"573","NP_001193658.1","Mass_AKT_Aligned",0,1050.3,"RAC-gamma serine/threonine-protein kin"
"574","NP_859029.1","Mass_AKT_Aligned",0,1050.3,"RAC-gamma serine/threonine-protein kin"
"575","XP_047273315.1","Mass_AKT_Aligned",8.3e-280,944.2,"RAC-gamma serine/threonine-protein kin"
"576","XP_047275142.1","Mass_AKT_Aligned",8.3e-280,944.2,"RAC-gamma serine/threonine-protein kin"
"577","XP_047276597.1","Mass_AKT_Aligned",8.3e-280,944.2,"RAC-gamma serine/threonine-protein kin"
"578","XP_047278347.1","Mass_AKT_Aligned",8.3e-280,944.2,"RAC-gamma serine/threonine-protein kin"
"579","XP_047280288.1","Mass_AKT_Aligned",8.3e-280,944.2,"RAC-gamma serine/threonine-protein kin"
"580","XP_054184600.1","Mass_AKT_Aligned",8.3e-280,944.2,"RAC-gamma serine/threonine-protein kin"
"581","XP_054184601.1","Mass_AKT_Aligned",8.3e-280,944.2,"RAC-gamma serine/threonine-protein kin"
"582","XP_054184602.1","Mass_AKT_Aligned",8.3e-280,944.2,"RAC-gamma serine/threonine-protein kin"
"583","NP_001229956.1","Mass_AKT_Aligned",9.6e-277,934,"RAC-beta serine/threonine-protein kina"
"584","NP_001229957.1","Mass_AKT_Aligned",9.6e-277,934,"RAC-beta serine/threonine-protein kina"
"585","XP_047271599.1","Mass_AKT_Aligned",8.5e-274,924.2,"RAC-gamma serine/threonine-protein kin"
"586","XP_054184599.1","Mass_AKT_Aligned",8.5e-274,924.2,"RAC-gamma serine/threonine-protein kin"
"587","NP_001317440.1","Mass_AKT_Aligned",7.1e-268,904.5,"RAC-beta serine/threonine-protein kina"
"588","NP_001137148.1","Mass_AKT_Aligned",1.7e-94,328.5,"serine/threonine-protein kinase Sgk1 i"
"589","NP_001137149.1","Mass_AKT_Aligned",2.7e-93,324.6,"serine/threonine-protein kinase Sgk1 i"
"590","NP_001137150.1","Mass_AKT_Aligned",5e-91,317,"serine/threonine-protein kinase Sgk1 i"
"591","NP_001307637.1","Mass_AKT_Aligned",6.2e-91,316.7,"serine/threonine-protein kinase N2 iso"
"592","NP_001307636.1","Mass_AKT_Aligned",6.2e-91,316.7,"serine/threonine-protein kinase N2 iso"
"593","NP_001307638.1","Mass_AKT_Aligned",6.2e-91,316.7,"serine/threonine-protein kinase N2 iso"
"594","NP_006247.1","Mass_AKT_Aligned",6.2e-91,316.7,"serine/threonine-protein kinase N2 iso"
"595","XP_011540074.1","Mass_AKT_Aligned",6.2e-91,316.7,"serine/threonine-protein kinase N2 iso"
"596","XP_016857271.1","Mass_AKT_Aligned",6.2e-91,316.7,"serine/threonine-protein kinase N2 iso"
"597","XP_047281180.1","Mass_AKT_Aligned",6.2e-91,316.7,"serine/threonine-protein kinase N2 iso"
"598","NP_006246.2","Mass_AKT_Aligned",7e-91,316.6,"protein kinase C eta type [Homo sapien"
"599","XP_011535256.1","Mass_AKT_Aligned",7e-91,316.6,"protein kinase C eta type isoform X2 ["
"600","XP_011535257.1","Mass_AKT_Aligned",7e-91,316.6,"protein kinase C eta type isoform X3 ["
"601","XP_024305429.1","Mass_AKT_Aligned",7e-91,316.6,"protein kinase C eta type isoform X4 ["
"602","XP_024305430.1","Mass_AKT_Aligned",7e-91,316.6,"protein kinase C eta type isoform X4 ["
"603","XP_047287541.1","Mass_AKT_Aligned",7e-91,316.6,"protein kinase C eta type isoform X1 ["
"604","NP_005391.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type [Homo sa"
"605","XP_005264485.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"606","XP_011531277.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"607","XP_011531280.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"608","XP_011531282.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"609","XP_011531283.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"610","XP_011531284.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"611","XP_011531273.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"612","XP_016859979.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"613","XP_016859977.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"614","XP_047301050.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"615","XP_047301051.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"616","XP_047301055.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"617","XP_047301053.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"618","XP_047301052.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"619","XP_047301054.1","Mass_AKT_Aligned",1.4e-90,315.5,"protein kinase C epsilon type isoform"
"620","XP_024302660.1","Mass_AKT_Aligned",6.9e-90,313.3,"RAC-gamma serine/threonine-protein kin"
"621","XP_054184603.1","Mass_AKT_Aligned",6.9e-90,313.3,"RAC-gamma serine/threonine-protein kin"
"622","NP_001028750.1","Mass_AKT_Aligned",5.7e-89,310.2,"serine/threonine-protein kinase Sgk3 i"
"623","NP_001191102.1","Mass_AKT_Aligned",5.7e-89,310.2,"serine/threonine-protein kinase Sgk3 ["
"624","NP_037389.4","Mass_AKT_Aligned",5.7e-89,310.2,"serine/threonine-protein kinase Sgk3 i"
"625","NP_997700.1","Mass_AKT_Aligned",3.9e-88,307.4,"protein kinase C beta type isoform 1 ["
"626","NP_002728.2","Mass_AKT_Aligned",1.4e-86,302.3,"protein kinase C alpha type [Homo sapi"
"627","XP_016880326.1","Mass_AKT_Aligned",1.4e-86,302.3,"protein kinase C alpha type isoform X2"
"628","XP_024306598.1","Mass_AKT_Aligned",1.4e-86,302.3,"protein kinase C alpha type isoform X3"
"629","XP_024306597.1","Mass_AKT_Aligned",1.4e-86,302.3,"protein kinase C alpha type isoform X3"
"630","XP_047292344.1","Mass_AKT_Aligned",1.4e-86,302.3,"protein kinase C alpha type isoform X4"
"631","XP_006712113.1","Mass_AKT_Aligned",2.9e-86,301.2,"protein kinase C epsilon type isoform"
"632","NP_005618.2","Mass_AKT_Aligned",1.4e-85,298.9,"serine/threonine-protein kinase Sgk1 i"
"633","NP_002731.4","Mass_AKT_Aligned",2.9e-84,294.5,"protein kinase C iota type [Homo sapie"
"634","NP_002729.2","Mass_AKT_Aligned",2.3e-83,291.6,"protein kinase C beta type isoform 2 ["
"635","XP_047290321.1","Mass_AKT_Aligned",2.3e-83,291.6,"protein kinase C beta type isoform X1"
"636","XP_047304531.1","Mass_AKT_Aligned",7.5e-83,289.9,"protein kinase C iota type isoform X2"
"637","XP_011531285.1","Mass_AKT_Aligned",1.5e-82,288.9,"protein kinase C epsilon type isoform"
"638","NP_002732.3","Mass_AKT_Aligned",7.8e-82,286.5,"serine/threonine-protein kinase N1 iso"
"639","NP_998725.1","Mass_AKT_Aligned",7.8e-82,286.5,"serine/threonine-protein kinase N1 iso"
"640","XP_047281239.1","Mass_AKT_Aligned",6.7e-80,280.1,"protein kinase C zeta type isoform X9"
"641","NP_001229803.1","Mass_AKT_Aligned",3.3e-79,277.8,"protein kinase C zeta type isoform 3 ["
"642","NP_002735.3","Mass_AKT_Aligned",4.4e-79,277.4,"protein kinase C zeta type isoform 1 ["
"643","XP_047281211.1","Mass_AKT_Aligned",4.4e-79,277.4,"protein kinase C zeta type isoform X4"
"644","XP_047281218.1","Mass_AKT_Aligned",4.4e-79,277.4,"protein kinase C zeta type isoform X6"
"645","NP_001269573.1","Mass_AKT_Aligned",8.8e-76,266.4,"protein kinase C theta type isoform 3"
"646","NP_001269574.1","Mass_AKT_Aligned",8.8e-76,266.4,"protein kinase C theta type isoform 4"
"647","NP_001310195.1","Mass_AKT_Aligned",8.8e-76,266.4,"protein kinase C theta type isoform 4"
"648","NP_001310194.1","Mass_AKT_Aligned",8.8e-76,266.4,"protein kinase C theta type isoform 1"
"649","NP_006248.1","Mass_AKT_Aligned",8.8e-76,266.4,"protein kinase C theta type isoform 1"
"650","XP_005252553.1","Mass_AKT_Aligned",8.8e-76,266.4,"protein kinase C theta type isoform X1"
"651","XP_016857279.1","Mass_AKT_Aligned",6.7e-75,263.5,"protein kinase C zeta type isoform X2"
"652","XP_016880325.1","Mass_AKT_Aligned",4.6e-74,260.7,"protein kinase C alpha type isoform X1"
"653","NP_001303256.1","Mass_AKT_Aligned",2.1e-72,255.1,"protein kinase C delta type isoform c"
"654","NP_001341608.1","Mass_AKT_Aligned",2.1e-72,255.1,"protein kinase C delta type isoform c"
"655","NP_001341609.1","Mass_AKT_Aligned",2.1e-72,255.1,"protein kinase C delta type isoform c"
"656","NP_001341607.1","Mass_AKT_Aligned",2.1e-72,255.1,"protein kinase C delta type isoform b"
"657","NP_001341605.1","Mass_AKT_Aligned",2.1e-72,255.1,"protein kinase C delta type isoform a"
"658","NP_006245.2","Mass_AKT_Aligned",2.1e-72,255.1,"protein kinase C delta type isoform c"
"659","NP_997704.1","Mass_AKT_Aligned",2.1e-72,255.1,"protein kinase C delta type isoform c"
"660","XP_047304520.1","Mass_AKT_Aligned",2.1e-72,255.1,"protein kinase C delta type isoform X1"
"661","NP_001303258.1","Mass_AKT_Aligned",2.8e-70,248.1,"protein kinase C gamma type isoform 1"
"662","NP_002730.1","Mass_AKT_Aligned",2.8e-70,248.1,"protein kinase C gamma type isoform 2"
"663","XP_047295048.1","Mass_AKT_Aligned",2.8e-70,248.1,"protein kinase C gamma type isoform X1"
"664","NP_037487.2","Mass_AKT_Aligned",4.3e-68,240.9,"serine/threonine-protein kinase N3 iso"
"665","XP_005252003.1","Mass_AKT_Aligned",4.3e-68,240.9,"serine/threonine-protein kinase N3 iso"
"666","XP_006717143.1","Mass_AKT_Aligned",4.3e-68,240.9,"serine/threonine-protein kinase N3 iso"
"667","XP_016870139.1","Mass_AKT_Aligned",4.3e-68,240.9,"serine/threonine-protein kinase N3 iso"
"668","XP_047279234.1","Mass_AKT_Aligned",4.3e-68,240.9,"serine/threonine-protein kinase N3 iso"
"669","XP_047279235.1","Mass_AKT_Aligned",4.3e-68,240.9,"serine/threonine-protein kinase N3 iso"
"670","NP_001258972.1","Mass_AKT_Aligned",4e-63,224.3,"ribosomal protein S6 kinase beta-1 iso"
"671","NP_003152.1","Mass_AKT_Aligned",4e-63,224.3,"ribosomal protein S6 kinase beta-1 iso"
"672","XP_011540076.1","Mass_AKT_Aligned",1.3e-62,222.6,"protein kinase C zeta type isoform X8"
"673","XP_011540075.1","Mass_AKT_Aligned",1.6e-62,222.4,"protein kinase C zeta type isoform X3"
"674","NP_001186193.1","Mass_AKT_Aligned",9.2e-62,219.8,"serine/threonine-protein kinase Sgk2 ["
"675","NP_057360.3","Mass_AKT_Aligned",9.2e-62,219.8,"serine/threonine-protein kinase Sgk2 ["
"676","NP_733794.1","Mass_AKT_Aligned",9.2e-62,219.8,"serine/threonine-protein kinase Sgk2 ["
"677","NP_733827.2","Mass_AKT_Aligned",3.2e-59,211.4,"serine/threonine-protein kinase Sgk3 i"
"678","XP_016857278.1","Mass_AKT_Aligned",2.4e-58,208.5,"protein kinase C zeta type isoform X1"
"679","XP_047281216.1","Mass_AKT_Aligned",2.4e-58,208.5,"protein kinase C zeta type isoform X5"
"680","XP_006715612.1","Mass_AKT_Aligned",7.8e-58,206.8,"ribosomal protein S6 kinase alpha-2 is"
"681","XP_047281229.1","Mass_AKT_Aligned",1.1e-57,206.2,"protein kinase C zeta type isoform X7"
"682","XP_011542316.1","Mass_AKT_Aligned",1.3e-57,206,"RAC-gamma serine/threonine-protein kin"
"683","XP_054184604.1","Mass_AKT_Aligned",1.3e-57,206,"RAC-gamma serine/threonine-protein kin"
"684","NP_001310196.1","Mass_AKT_Aligned",3.5e-57,204.6,"protein kinase C theta type isoform 5"
"685","XP_005252554.1","Mass_AKT_Aligned",3.5e-57,204.6,"protein kinase C theta type isoform X2"
"686","NP_001028753.1","Mass_AKT_Aligned",5.4e-57,204,"protein kinase C zeta type isoform 2 ["
"687","NP_001028754.1","Mass_AKT_Aligned",5.4e-57,204,"protein kinase C zeta type isoform 2 ["
"688","XP_047281304.1","Mass_AKT_Aligned",5.4e-57,204,"protein kinase C zeta type isoform X15"
"689","NP_001258989.1","Mass_AKT_Aligned",1.8e-55,198.9,"ribosomal protein S6 kinase beta-1 iso"
"690","NP_001305865.2","Mass_AKT_Aligned",6.6e-55,197,"ribosomal protein S6 kinase alpha-2 is"
"691","NP_003943.2","Mass_AKT_Aligned",4.7e-54,194.2,"ribosomal protein S6 kinase beta-2 [Ho"
"692","NP_001337732.1","Mass_AKT_Aligned",7.9e-53,190.1,"protein kinase C zeta type isoform 4 ["
"693","NP_001337733.1","Mass_AKT_Aligned",7.9e-53,190.1,"protein kinase C zeta type isoform 4 ["
"694","XP_047281279.1","Mass_AKT_Aligned",7.9e-53,190.1,"protein kinase C zeta type isoform X11"
"695","NP_001356598.1","Mass_AKT_Aligned",1.8e-52,189,"ribosomal protein S6 kinase beta-1 iso"
"696","XP_016884912.1","Mass_AKT_Aligned",7.1e-50,180.3,"ribosomal protein S6 kinase alpha-6 is"
"697","XP_016884913.1","Mass_AKT_Aligned",7.1e-50,180.3,"ribosomal protein S6 kinase alpha-6 is"
"698","XP_016884914.1","Mass_AKT_Aligned",7.1e-50,180.3,"ribosomal protein S6 kinase alpha-6 is"
"699","NP_001006933.3","Mass_AKT_Aligned",9e-50,180,"ribosomal protein S6 kinase alpha-2 is"
"700","NP_001258971.1","Mass_AKT_Aligned",1.9e-49,178.9,"ribosomal protein S6 kinase beta-1 iso"
"701","NP_004577.1","Mass_AKT_Aligned",2e-49,178.9,"ribosomal protein S6 kinase alpha-3 is"
"702","XP_005274630.1","Mass_AKT_Aligned",2e-49,178.9,"ribosomal protein S6 kinase alpha-3 is"
"703","XP_047298289.1","Mass_AKT_Aligned",2e-49,178.9,"ribosomal protein S6 kinase alpha-3 is"
"704","XP_047298288.1","Mass_AKT_Aligned",2e-49,178.9,"ribosomal protein S6 kinase alpha-3 is"
"705","NP_001006666.1","Mass_AKT_Aligned",7.4e-49,176.9,"ribosomal protein S6 kinase alpha-1 is"
"706","XP_047283214.1","Mass_AKT_Aligned",7.4e-49,176.9,"ribosomal protein S6 kinase alpha-1 is"
"707","XP_054187513.1","Mass_AKT_Aligned",7.4e-49,176.9,"ribosomal protein S6 kinase alpha-1 is"
"708","NP_001278924.1","Mass_AKT_Aligned",2.6e-48,175.1,"serine/threonine-protein kinase Sgk1 i"
"709","NP_066958.2","Mass_AKT_Aligned",5.5e-48,174.1,"ribosomal protein S6 kinase alpha-2 is"
"710","NP_001291278.1","Mass_AKT_Aligned",2.7e-46,168.4,"cAMP-dependent protein kinase catalyti"
"711","XP_047275189.1","Mass_AKT_Aligned",1.3e-45,166.1,"ribosomal protein S6 kinase alpha-2 is"
"712","NP_002944.2","Mass_AKT_Aligned",1.6e-45,165.9,"ribosomal protein S6 kinase alpha-1 is"
"713","XP_011543858.1","Mass_AKT_Aligned",2.2e-45,165.4,"ribosomal protein S6 kinase alpha-3 is"
"714","XP_011543857.1","Mass_AKT_Aligned",2.2e-45,165.4,"ribosomal protein S6 kinase alpha-3 is"
"715","NP_001258973.1","Mass_AKT_Aligned",4.4e-45,164.4,"ribosomal protein S6 kinase beta-1 iso"
"716","NP_001317441.1","Mass_AKT_Aligned",2.1e-44,162.1,"ribosomal protein S6 kinase alpha-6 is"
"717","XP_011529219.1","Mass_AKT_Aligned",2.1e-44,162.1,"ribosomal protein S6 kinase alpha-6 is"
"718","NP_891993.1","Mass_AKT_Aligned",6.5e-44,160.5,"cAMP-dependent protein kinase catalyti"
"719","NP_055311.1","Mass_AKT_Aligned",9.8e-44,159.9,"ribosomal protein S6 kinase alpha-6 is"
"720","NP_001317370.1","Mass_AKT_Aligned",3.9e-42,154.6,"ribosomal protein S6 kinase alpha-1 is"
"721","XP_011539371.1","Mass_AKT_Aligned",4e-42,154.6,"microtubule-associated serine/threonin"
"722","XP_047306097.1","Mass_AKT_Aligned",4e-42,154.6,"microtubule-associated serine/threonin"
"723","XP_047306098.1","Mass_AKT_Aligned",4e-42,154.6,"microtubule-associated serine/threonin"
"724","XP_047306101.1","Mass_AKT_Aligned",4e-42,154.6,"microtubule-associated serine/threonin"
"725","XP_047306105.1","Mass_AKT_Aligned",4e-42,154.6,"microtubule-associated serine/threonin"
"726","XP_047306109.1","Mass_AKT_Aligned",4e-42,154.6,"microtubule-associated serine/threonin"
"727","XP_047306106.1","Mass_AKT_Aligned",4e-42,154.6,"microtubule-associated serine/threonin"
"728","XP_011523404.1","Mass_AKT_Aligned",1.2e-41,153,"ribosomal protein S6 kinase beta-1 iso"
"729","XP_047275190.1","Mass_AKT_Aligned",2.7e-41,151.8,"ribosomal protein S6 kinase alpha-2 is"
"730","XP_011540078.1","Mass_AKT_Aligned",1.9e-40,149,"protein kinase C zeta type isoform X14"
"731","XP_024304164.1","Mass_AKT_Aligned",1.9e-40,149,"protein kinase C zeta type isoform X14"
"732","XP_047281296.1","Mass_AKT_Aligned",1.9e-40,149,"protein kinase C zeta type isoform X14"
"733","NP_001380445.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"734","NP_001380442.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"735","NP_001380450.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"736","NP_001380449.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"737","NP_001380434.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"738","NP_001380436.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"739","NP_001380447.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"740","NP_001380448.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"741","NP_001380446.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"742","NP_055831.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"743","XP_016881999.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"744","XP_016882005.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"745","XP_016881998.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"746","XP_047294436.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"747","XP_047294437.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"748","XP_047294429.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"749","XP_047294432.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"750","XP_047294438.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"751","XP_047294433.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"752","XP_047294440.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"753","XP_047294441.1","Mass_AKT_Aligned",2.8e-40,148.5,"microtubule-associated serine/threonin"
"754","NP_001380441.1","Mass_AKT_Aligned",5.4e-40,147.5,"microtubule-associated serine/threonin"
"755","NP_001311250.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"756","NP_001311249.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"757","NP_055927.2","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"758","XP_005270713.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"759","XP_005270712.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"760","XP_006710540.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"761","XP_011539361.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"762","XP_011539365.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"763","XP_011539364.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"764","XP_011539370.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"765","XP_011539366.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"766","XP_011539369.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"767","XP_016856241.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"768","XP_016856242.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"769","XP_016856244.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
"770","XP_047306072.1","Mass_AKT_Aligned",5.7e-40,147.4,"microtubule-associated serine/threonin"
